ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,656.4871,203.71411,0.043137256,0.3548387
1,1,1,1,MOVE,22,655.4879,203.71411,0.10980393,0.9032258
1,1,1,1,MOVE,39,653.82916,203.71411,0.13725491,0.12903225
1,1,1,1,MOVE,55,653.48944,203.71411,0.18823531,0.19354838
1,1,1,1,MOVE,72,652.49023,203.71411,0.20784315,0.19354838
1,1,1,1,MOVE,88,652.49023,203.71411,0.23529413,0.22580644
1,1,1,1,MOVE,105,652.49023,202.71536,0.24705884,0.22580644
1,1,1,1,MOVE,122,652.49023,201.28593,0.2509804,0.2580645
1,1,1,1,MOVE,128,652.49023,200.71785,0.23529413,0.22580644
1,1,1,1,UP,138,652.49023,200.71785,0.23529413,0.22580644
2,1,1,1,DOWN,0,668.4777,494.35083,0.03529412,0.29032257
2,1,1,1,MOVE,12,668.4777,494.35083,0.06666667,0.54838705
2,1,1,1,MOVE,28,667.4785,493.35205,0.098039225,0.80645156
2,1,1,1,MOVE,45,666.2642,492.13837,0.15294118,0.12903225
2,1,1,1,MOVE,63,665.4801,491.35455,0.1764706,0.16129032
2,1,1,1,MOVE,80,663.9874,491.35455,0.21568629,0.19354838
2,1,1,1,MOVE,96,663.4816,491.35455,0.24313727,0.22580644
2,1,1,1,MOVE,113,662.4824,491.35455,0.25490198,0.2580645
2,1,1,1,MOVE,130,661.32733,491.35455,0.27450982,0.2580645
2,1,1,1,MOVE,146,660.484,491.35455,0.28235295,0.29032257
2,1,1,1,MOVE,163,659.2242,491.35455,0.29803923,0.29032257
2,1,1,1,MOVE,179,659.4848,491.35455,0.3019608,0.29032257
2,1,1,1,MOVE,196,659.4848,491.35455,0.30588236,0.29032257
2,1,1,1,MOVE,203,659.4848,491.35455,0.3019608,0.29032257
2,1,1,1,UP,213,659.4848,491.35455,0.3019608,0.29032257
3,1,1,1,DOWN,0,213.83295,514.32587,0.050980397,0.41935483
3,1,1,1,MOVE,20,212.83372,513.3271,0.09019608,0.7419355
3,1,1,1,MOVE,37,211.36646,511.86053,0.16470589,0.16129032
3,1,1,1,MOVE,53,210.83528,511.3296,0.21568629,0.19354838
3,1,1,1,MOVE,70,210.83528,509.73883,0.2392157,0.22580644
3,1,1,1,MOVE,86,210.83528,509.3321,0.27450982,0.2580645
3,1,1,1,MOVE,103,210.83528,507.63385,0.28627452,0.29032257
3,1,1,1,MOVE,120,209.58678,507.3346,0.3019608,0.29032257
3,1,1,1,MOVE,136,209.83606,507.3346,0.30980393,0.29032257
3,1,1,1,MOVE,153,208.48024,505.97937,0.32156864,0.32258064
3,1,1,1,MOVE,169,208.83685,505.4228,0.3254902,0.32258064
3,1,1,1,MOVE,186,208.83685,505.3371,0.32941177,0.32258064
3,1,1,1,MOVE,202,208.83685,505.3371,0.3254902,0.32258064
3,1,1,1,MOVE,213,208.83685,505.3371,0.3019608,0.29032257
3,1,1,1,UP,224,208.83685,505.3371,0.3019608,0.29032257
4,1,1,1,DOWN,0,1073.1616,504.33832,0.039215688,0.32258064
4,1,1,1,MOVE,17,1073.1616,503.3396,0.07450981,0.61290324
4,1,1,1,MOVE,34,1073.1616,502.17035,0.14117648,0.12903225
4,1,1,1,MOVE,50,1073.1616,501.3421,0.16862746,0.16129032
4,1,1,1,MOVE,68,1073.1616,499.97076,0.21568629,0.19354838
4,1,1,1,MOVE,84,1073.1616,499.3446,0.23529413,0.22580644
4,1,1,1,MOVE,101,1073.1616,497.86578,0.27058825,0.2580645
4,1,1,1,MOVE,117,1073.1616,497.3471,0.29803923,0.29032257
4,1,1,1,MOVE,134,1073.1616,495.76404,0.30980393,0.29032257
4,1,1,1,MOVE,151,1073.1616,495.34955,0.3254902,0.32258064
4,1,1,1,MOVE,167,1072.1624,494.35083,0.33333334,0.32258064
4,1,1,1,MOVE,184,1070.919,494.35083,0.34117648,0.32258064
4,1,1,1,MOVE,200,1070.164,494.35083,0.34117648,0.32258064
4,1,1,1,MOVE,217,1068.8137,494.35083,0.32156864,0.32258064
4,1,1,1,UP,224,1068.8137,494.35083,0.32156864,0.32258064
5,1,1,1,DOWN,0,1051.1787,215.69913,0.058823533,0.48387095
5,1,1,1,MOVE,26,1050.1796,214.70038,0.15686275,0.16129032
5,1,1,1,MOVE,42,1048.1836,212.70534,0.20000002,0.19354838
5,1,1,1,MOVE,60,1047.486,212.70288,0.27058825,0.2580645
5,1,1,1,MOVE,77,1045.9358,212.70288,0.32156864,0.32258064
5,1,1,1,MOVE,93,1046.1826,211.90237,0.34117648,0.32258064
5,1,1,1,MOVE,110,1046.1826,211.70413,0.36862746,0.3548387
5,1,1,1,MOVE,127,1046.1826,210.79286,0.3803922,0.38709676
5,1,1,1,MOVE,143,1046.1826,210.70537,0.39607847,0.38709676
5,1,1,1,MOVE,160,1046.1826,208.68726,0.4039216,0.38709676
5,1,1,1,MOVE,176,1046.1826,208.13934,0.4039216,0.38709676
5,1,1,1,MOVE,193,1046.1826,207.70912,0.39607847,0.38709676
5,1,1,1,MOVE,202,1046.1826,206.71037,0.3803922,0.38709676
5,1,1,1,UP,213,1046.1826,206.71037,0.3803922,0.38709676
6,1,1,1,DOWN,0,210.83528,213.70163,0.058823533,0.48387095
6,1,1,1,MOVE,20,210.83528,212.70288,0.10196079,0.83870965
6,1,1,1,MOVE,37,210.83528,211.23976,0.17254902,0.16129032
6,1,1,1,MOVE,53,210.83528,211.70413,0.227451,0.22580644
6,1,1,1,MOVE,72,210.1056,211.70413,0.2509804,0.2580645
6,1,1,1,MOVE,88,209.83606,211.70413,0.2901961,0.29032257
6,1,1,1,MOVE,105,208.99829,211.70413,0.30588236,0.29032257
6,1,1,1,MOVE,121,208.83685,211.70413,0.32941177,0.32258064
6,1,1,1,MOVE,138,206.89198,211.70413,0.34117648,0.32258064
6,1,1,1,MOVE,154,206.83841,210.21239,0.35686275,0.3548387
6,1,1,1,MOVE,171,206.83841,209.656,0.36078432,0.3548387
6,1,1,1,MOVE,187,206.83841,208.70787,0.36078432,0.3548387
6,1,1,1,MOVE,204,206.83841,207.55403,0.34117648,0.32258064
6,1,1,1,UP,213,206.83841,207.55403,0.34117648,0.32258064
TPS: 5
