ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,659.4848,201.71661,0.03529412,0.29032257
1,1,1,1,MOVE,17,659.4848,200.71785,0.0627451,0.516129
1,1,1,1,MOVE,33,659.4848,199.56555,0.11764707,0.9677419
1,1,1,1,MOVE,50,659.4848,198.72035,0.14509805,0.12903225
1,1,1,1,MOVE,66,659.4848,197.46288,0.19215688,0.19354838
1,1,1,1,MOVE,83,659.4848,196.72285,0.21176472,0.19354838
1,1,1,1,MOVE,100,659.4848,195.34195,0.24705884,0.22580644
1,1,1,1,MOVE,116,659.4848,195.7241,0.2627451,0.2580645
1,1,1,1,MOVE,133,659.4848,195.7241,0.28235295,0.29032257
1,1,1,1,MOVE,149,659.4848,195.7241,0.27450982,0.2580645
1,1,1,1,UP,159,659.4848,195.7241,0.27450982,0.2580645
2,1,1,1,DOWN,0,672.4746,498.34583,0.04705883,0.38709676
2,1,1,1,MOVE,20,671.4754,497.3471,0.08235294,0.6774193
2,1,1,1,MOVE,37,670.0058,497.3471,0.14509805,0.12903225
2,1,1,1,MOVE,53,669.4481,497.3471,0.19607845,0.19354838
2,1,1,1,MOVE,70,668.4777,497.3471,0.21568629,0.19354838
2,1,1,1,MOVE,86,667.35944,497.3471,0.24705884,0.22580644
2,1,1,1,MOVE,103,666.4793,497.3471,0.25882354,0.2580645
2,1,1,1,MOVE,119,665.2481,497.3471,0.2784314,0.2580645
2,1,1,1,MOVE,136,664.4809,497.3471,0.28627452,0.29032257
2,1,1,1,MOVE,138,664.4809,497.3471,0.28627452,0.29032257
2,1,1,1,UP,149,664.4809,497.3471,0.28627452,0.29032257
3,1,1,1,DOWN,0,214.83217,507.3346,0.04705883,0.38709676
3,1,1,1,MOVE,16,214.27486,506.77753,0.08235294,0.6774193
3,1,1,1,MOVE,33,213.83295,506.33582,0.14901961,0.12903225
3,1,1,1,MOVE,50,213.83295,506.33582,0.1764706,0.16129032
3,1,1,1,MOVE,66,213.83295,506.33582,0.21960786,0.22580644
3,1,1,1,MOVE,83,213.83295,506.33582,0.23529413,0.22580644
3,1,1,1,MOVE,99,213.83295,506.33582,0.25882354,0.2580645
3,1,1,1,MOVE,116,213.83295,506.33582,0.26666668,0.2580645
3,1,1,1,MOVE,132,213.83295,506.33582,0.2784314,0.2580645
3,1,1,1,MOVE,149,212.83372,506.33582,0.28235295,0.29032257
3,1,1,1,MOVE,159,211.8345,505.3371,0.27450982,0.2580645
3,1,1,1,UP,170,211.8345,505.3371,0.27450982,0.2580645
4,1,1,1,DOWN,0,1054.1764,511.3296,0.039215688,0.32258064
4,1,1,1,MOVE,17,1054.1764,510.7473,0.07058824,0.58064514
4,1,1,1,MOVE,34,1054.1764,510.33087,0.1254902,0.12903225
4,1,1,1,MOVE,50,1054.1764,508.6286,0.14901961,0.12903225
4,1,1,1,MOVE,65,1054.1764,508.33337,0.19215688,0.19354838
4,1,1,1,MOVE,82,1054.1764,508.33337,0.20784315,0.19354838
4,1,1,1,MOVE,98,1054.1764,508.33337,0.23529413,0.22580644
4,1,1,1,MOVE,115,1054.1764,508.33337,0.24705884,0.22580644
4,1,1,1,MOVE,131,1054.1764,508.33337,0.2627451,0.2580645
4,1,1,1,MOVE,148,1054.1764,508.33337,0.27058825,0.2580645
4,1,1,1,MOVE,165,1054.1764,508.33337,0.2784314,0.2580645
4,1,1,1,MOVE,181,1054.1764,508.33337,0.2784314,0.2580645
4,1,1,1,MOVE,181,1054.1764,508.33337,0.27058825,0.2580645
4,1,1,1,UP,192,1054.1764,508.33337,0.27058825,0.2580645
5,1,1,1,DOWN,63,1065.1678,204.71286,0.058823533,0.48387095
5,1,1,1,MOVE,89,1065.1678,203.71411,0.14901961,0.12903225
5,1,1,1,MOVE,105,1064.1686,201.7934,0.18823531,0.19354838
5,1,1,1,MOVE,123,1064.1686,201.15663,0.25490198,0.2580645
5,1,1,1,MOVE,139,1064.1686,199.60393,0.30588236,0.29032257
5,1,1,1,MOVE,156,1064.1686,199.04327,0.3254902,0.32258064
5,1,1,1,MOVE,172,1064.1686,197.48882,0.35686275,0.3548387
5,1,1,1,MOVE,189,1064.1686,196.92876,0.36862746,0.3548387
5,1,1,1,MOVE,205,1062.8213,196.72285,0.3921569,0.38709676
5,1,1,1,MOVE,222,1063.1694,196.72285,0.40000004,0.38709676
5,1,1,1,MOVE,239,1063.1694,196.72285,0.40784317,0.41935483
5,1,1,1,MOVE,255,1063.1694,198.74265,0.3921569,0.38709676
5,1,1,1,UP,266,1063.1694,198.74265,0.3921569,0.38709676
6,1,1,1,DOWN,0,208.83685,217.69664,0.054901965,0.4516129
6,1,1,1,MOVE,21,207.83763,216.69788,0.10196079,0.83870965
6,1,1,1,MOVE,37,206.83841,215.69913,0.18431373,0.16129032
6,1,1,1,MOVE,53,205.83482,215.69913,0.2509804,0.2580645
6,1,1,1,MOVE,70,205.83919,215.69913,0.27450982,0.2580645
6,1,1,1,MOVE,86,205.83919,215.69913,0.30980393,0.29032257
6,1,1,1,MOVE,103,205.83919,215.69913,0.32156864,0.32258064
6,1,1,1,MOVE,119,205.83919,215.69913,0.34117648,0.32258064
6,1,1,1,MOVE,136,205.05086,215.69913,0.34901962,0.3548387
6,1,1,1,MOVE,152,204.83997,215.69913,0.3529412,0.3548387
6,1,1,1,MOVE,159,203.84074,215.69913,0.34901962,0.3548387
6,1,1,1,UP,170,203.84074,215.69913,0.34901962,0.3548387
TPS: 7
