ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,657.4863,196.72285,0.027450982,0.22580644
1,1,1,1,MOVE,16,656.4871,195.7241,0.043137256,0.3548387
1,1,1,1,MOVE,32,655.43,194.66747,0.07058824,0.58064514
1,1,1,1,MOVE,49,654.4887,194.11955,0.08235294,0.6774193
1,1,1,1,MOVE,66,653.31134,193.7266,0.10588236,0.87096775
1,1,1,1,MOVE,82,652.49023,193.7266,0.11764707,0.9677419
1,1,1,1,MOVE,99,651.21246,193.7266,0.14117648,0.12903225
1,1,1,1,MOVE,115,650.4918,193.7266,0.15294118,0.12903225
1,1,1,1,MOVE,132,649.1111,193.7266,0.1764706,0.16129032
1,1,1,1,MOVE,148,648.49335,193.7266,0.18823531,0.19354838
1,1,1,1,MOVE,165,647.01166,193.7266,0.20392159,0.19354838
1,1,1,1,MOVE,182,646.49493,193.7266,0.21960786,0.22580644
1,1,1,1,MOVE,198,644.9106,193.7266,0.23137257,0.22580644
1,1,1,1,MOVE,215,644.49646,194.86198,0.24705884,0.22580644
1,1,1,1,MOVE,231,642.8061,196.41493,0.25490198,0.2580645
1,1,1,1,MOVE,248,641.26105,197.95926,0.27058825,0.2580645
1,1,1,1,MOVE,264,639.7092,199.51038,0.28235295,0.29032257
1,1,1,1,MOVE,281,638.16046,201.05841,0.3019608,0.29032257
1,1,1,1,MOVE,297,636.6097,202.60847,0.31764707,0.32258064
1,1,1,1,MOVE,314,635.06165,204.1558,0.34509805,0.3548387
1,1,1,1,MOVE,331,634.5043,204.70865,0.35686275,0.3548387
1,1,1,1,MOVE,347,632.96246,204.71286,0.37647063,0.38709676
1,1,1,1,MOVE,364,632.50586,205.8027,0.40000004,0.38709676
1,1,1,1,MOVE,380,630.8621,205.71161,0.41176474,0.41935483
1,1,1,1,MOVE,397,630.5074,206.90344,0.427451,0.41935483
1,1,1,1,MOVE,413,630.5074,206.71037,0.43529415,0.41935483
1,1,1,1,MOVE,430,630.5074,206.71037,0.45098042,0.4516129
1,1,1,1,MOVE,463,630.5074,206.71037,0.4666667,0.4516129
1,1,1,1,MOVE,480,630.5074,206.71037,0.47450984,0.48387095
1,1,1,1,MOVE,511,630.5074,206.71037,0.48235297,0.48387095
1,1,1,1,MOVE,529,630.5074,206.71037,0.4784314,0.48387095
1,1,1,1,MOVE,559,630.5074,206.71037,0.47450984,0.48387095
1,1,1,1,MOVE,579,630.5074,206.71037,0.47058827,0.48387095
1,1,1,1,MOVE,596,630.5074,206.71037,0.43137258,0.41935483
1,1,1,1,MOVE,612,630.5074,206.71037,0.42352945,0.41935483
1,1,1,1,MOVE,621,630.5074,206.71037,0.427451,0.41935483
1,1,1,1,MOVE,645,630.5074,205.44415,0.4431373,0.4516129
1,1,1,1,MOVE,671,630.5074,205.71161,0.45098042,0.4516129
1,1,1,1,MOVE,694,631.8407,204.379,0.45882356,0.4516129
1,1,1,1,MOVE,712,631.50665,203.66956,0.45882356,0.4516129
1,1,1,1,MOVE,743,632.83765,202.38373,0.454902,0.4516129
1,1,1,1,MOVE,761,633.6183,201.60342,0.454902,0.4516129
1,1,1,1,MOVE,778,636.09576,199.12717,0.45098042,0.4516129
1,1,1,1,MOVE,794,637.22894,197.99446,0.4431373,0.4516129
1,1,1,1,MOVE,805,638.0016,197.22223,0.43921572,0.4516129
1,1,1,1,MOVE,827,637.50195,196.53528,0.454902,0.4516129
1,1,1,1,MOVE,855,637.50195,196.72285,0.46274513,0.4516129
1,1,1,1,MOVE,877,638.7696,195.45576,0.47058827,0.48387095
1,1,1,1,MOVE,903,638.50116,194.39095,0.4666667,0.4516129
1,1,1,1,MOVE,927,638.50116,194.72534,0.46274513,0.4516129
1,1,1,1,MOVE,943,639.536,193.69098,0.45882356,0.4516129
1,1,1,1,MOVE,960,639.50037,192.56212,0.454902,0.4516129
1,1,1,1,MOVE,973,640.99927,192.72784,0.4431373,0.4516129
1,1,1,1,MOVE,989,641.9984,191.22972,0.43921572,0.4516129
1,1,1,1,MOVE,1010,641.49884,191.7291,0.45098042,0.4516129
1,1,1,1,MOVE,1039,641.49884,191.7291,0.454902,0.4516129
1,1,1,1,MOVE,1059,642.69684,190.53163,0.45882356,0.4516129
1,1,1,1,MOVE,1086,642.49805,190.73035,0.454902,0.4516129
1,1,1,1,MOVE,1109,642.49805,189.45595,0.45098042,0.4516129
1,1,1,1,MOVE,1142,643.49725,189.73158,0.4431373,0.4516129
1,1,1,1,MOVE,1157,644.9961,189.73158,0.43137258,0.41935483
1,1,1,1,MOVE,1173,645.99536,189.73158,0.427451,0.41935483
1,1,1,1,MOVE,1192,645.4957,189.73158,0.43921572,0.4516129
1,1,1,1,MOVE,1223,645.4957,189.73158,0.40784317,0.41935483
1,1,1,1,MOVE,1242,646.618,189.73158,0.41176474,0.41935483
1,1,1,1,MOVE,1270,646.49493,189.73158,0.40784317,0.41935483
1,1,1,1,MOVE,1291,646.49493,188.52164,0.40000004,0.38709676
1,1,1,1,MOVE,1324,648.46045,188.73283,0.3921569,0.38709676
1,1,1,1,MOVE,1341,649.9875,188.73283,0.3803922,0.38709676
1,1,1,1,MOVE,1357,650.99146,188.73283,0.3803922,0.38709676
1,1,1,1,MOVE,1382,651.81464,188.73283,0.39607847,0.38709676
1,1,1,1,MOVE,1406,651.491,188.73283,0.40784317,0.41935483
1,1,1,1,MOVE,1424,653.6207,188.73283,0.41960788,0.41935483
1,1,1,1,MOVE,1454,653.48944,188.73283,0.41960788,0.41935483
1,1,1,1,MOVE,1473,654.6314,188.73283,0.41960788,0.41935483
1,1,1,1,MOVE,1507,655.33527,188.73283,0.41960788,0.41935483
1,1,1,1,MOVE,1523,656.81976,188.73283,0.41176474,0.41935483
1,1,1,1,MOVE,1540,657.9198,188.73283,0.4156863,0.41935483
1,1,1,1,MOVE,1566,657.4863,188.73283,0.427451,0.41935483
1,1,1,1,MOVE,1589,657.4863,188.73283,0.43529415,0.41935483
1,1,1,1,MOVE,1614,658.8195,188.73283,0.4431373,0.4516129
1,1,1,1,MOVE,1638,658.48553,188.73283,0.43921572,0.4516129
1,1,1,1,MOVE,1656,658.48553,187.67369,0.43529415,0.41935483
1,1,1,1,MOVE,1689,659.4848,187.73409,0.43137258,0.41935483
1,1,1,1,MOVE,1705,660.6382,187.73409,0.4156863,0.41935483
1,1,1,1,MOVE,1722,662.18823,187.73409,0.40000004,0.38709676
1,1,1,1,MOVE,1738,663.7394,186.47769,0.36078432,0.3548387
1,1,1,1,MOVE,1746,664.4809,186.73534,0.32941177,0.32258064
1,1,1,1,UP,1757,664.4809,186.73534,0.32941177,0.32258064
2,1,1,1,DOWN,0,665.4801,510.33087,0.027450982,0.22580644
2,1,1,1,MOVE,19,664.4809,509.3321,0.043137256,0.3548387
2,1,1,1,MOVE,35,664.4809,509.3321,0.07450981,0.61290324
2,1,1,1,MOVE,52,663.4816,508.41608,0.09019608,0.7419355
2,1,1,1,MOVE,69,661.98956,508.33337,0.121568635,1.0
2,1,1,1,MOVE,85,661.4832,508.33337,0.14901961,0.12903225
2,1,1,1,MOVE,102,659.8884,508.33337,0.16078432,0.16129032
2,1,1,1,MOVE,118,659.4848,508.33337,0.18431373,0.16129032
2,1,1,1,MOVE,135,657.79004,508.33337,0.19607845,0.19354838
2,1,1,1,MOVE,151,657.4863,508.33337,0.21960786,0.22580644
2,1,1,1,MOVE,168,656.4871,508.33337,0.23137257,0.22580644
2,1,1,1,MOVE,185,656.4871,506.98804,0.25490198,0.2580645
2,1,1,1,MOVE,201,656.4871,506.43488,0.26666668,0.2580645
2,1,1,1,MOVE,218,656.4871,506.33582,0.29803923,0.29032257
2,1,1,1,MOVE,234,655.4879,506.33582,0.31764707,0.32258064
2,1,1,1,MOVE,251,655.4879,506.33582,0.36078432,0.3548387
2,1,1,1,MOVE,267,655.4879,506.33582,0.38431376,0.38709676
2,1,1,1,MOVE,277,655.4879,506.33582,0.40784317,0.41935483
2,1,1,1,MOVE,301,655.4879,506.33582,0.427451,0.41935483
2,1,1,1,MOVE,326,655.4879,506.33582,0.44705886,0.4516129
2,1,1,1,MOVE,350,655.4879,506.33582,0.46274513,0.4516129
2,1,1,1,MOVE,367,655.4879,506.33582,0.4784314,0.48387095
2,1,1,1,MOVE,398,655.4879,506.33582,0.4901961,0.48387095
2,1,1,1,MOVE,416,655.4879,506.33582,0.5019608,0.516129
2,1,1,1,MOVE,446,655.4879,506.33582,0.50980395,0.516129
2,1,1,1,MOVE,466,655.4879,506.33582,0.5176471,0.516129
2,1,1,1,MOVE,494,655.4879,506.33582,0.5019608,0.516129
2,1,1,1,MOVE,516,655.4879,506.33582,0.4901961,0.48387095
2,1,1,1,MOVE,542,655.4879,506.33582,0.48235297,0.48387095
2,1,1,1,MOVE,566,655.4879,506.33582,0.47450984,0.48387095
2,1,1,1,MOVE,582,655.4879,506.33582,0.47058827,0.48387095
2,1,1,1,MOVE,614,655.4879,506.33582,0.4666667,0.4516129
2,1,1,1,MOVE,632,655.4879,506.33582,0.46274513,0.4516129
2,1,1,1,MOVE,662,655.4879,506.33582,0.46274513,0.4516129
2,1,1,1,MOVE,681,655.4879,506.33582,0.46274513,0.4516129
2,1,1,1,MOVE,709,655.4879,506.33582,0.46274513,0.4516129
