ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,655.4879,196.72285,0.03137255,0.2580645
1,1,1,1,MOVE,19,654.67847,196.72285,0.050980397,0.41935483
1,1,1,1,MOVE,35,654.4887,196.72285,0.09019608,0.7419355
1,1,1,1,MOVE,52,654.4887,196.72285,0.10588236,0.87096775
1,1,1,1,MOVE,69,654.4887,196.72285,0.13333334,0.12903225
1,1,1,1,MOVE,85,654.4887,196.72285,0.15686275,0.16129032
1,1,1,1,MOVE,102,654.4887,196.72285,0.16470589,0.16129032
1,1,1,1,MOVE,118,654.4887,196.72285,0.18039216,0.16129032
1,1,1,1,MOVE,135,654.4887,196.72285,0.18823531,0.19354838
1,1,1,1,MOVE,151,654.4887,196.72285,0.20392159,0.19354838
1,1,1,1,MOVE,168,654.4887,196.72285,0.21176472,0.19354838
1,1,1,1,MOVE,185,654.4887,196.72285,0.21960786,0.22580644
1,1,1,1,MOVE,201,654.4887,196.72285,0.22352943,0.22580644
1,1,1,1,MOVE,218,654.4887,196.72285,0.23137257,0.22580644
1,1,1,1,MOVE,234,654.4887,196.72285,0.2392157,0.22580644
1,1,1,1,MOVE,251,654.4887,196.72285,0.24313727,0.22580644
1,1,1,1,MOVE,267,654.4887,196.72285,0.2509804,0.2580645
1,1,1,1,MOVE,284,654.4887,196.72285,0.2509804,0.2580645
1,1,1,1,MOVE,300,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,317,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,334,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,350,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,367,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,383,654.4887,196.72285,0.25490198,0.2580645
1,1,1,1,MOVE,400,654.4887,196.082,0.25490198,0.2580645
1,1,1,1,MOVE,416,654.4887,195.7241,0.25490198,0.2580645
1,1,1,1,MOVE,433,654.4887,194.72534,0.25490198,0.2580645
1,1,1,1,MOVE,450,654.4887,193.39484,0.24705884,0.22580644
1,1,1,1,MOVE,457,654.4887,193.7266,0.23137257,0.22580644
1,1,1,1,UP,467,654.4887,193.7266,0.23137257,0.22580644
2,1,1,1,DOWN,0,666.4793,508.33337,0.027450982,0.22580644
2,1,1,1,MOVE,26,665.01404,506.8687,0.06666667,0.54838705
2,1,1,1,MOVE,42,664.44476,506.29968,0.10196079,0.83870965
2,1,1,1,MOVE,59,663.4816,505.3371,0.11764707,0.9677419
2,1,1,1,MOVE,75,662.3366,504.19257,0.14509805,0.12903225
2,1,1,1,MOVE,92,661.4832,504.33832,0.15686275,0.16129032
2,1,1,1,MOVE,108,660.2233,503.07904,0.1764706,0.16129032
2,1,1,1,MOVE,125,659.4848,503.3396,0.18431373,0.16129032
2,1,1,1,MOVE,141,658.1119,503.3396,0.20000002,0.19354838
2,1,1,1,MOVE,158,657.4863,503.3396,0.20784315,0.19354838
2,1,1,1,MOVE,175,655.9984,503.3396,0.21960786,0.22580644
