ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,47.96253,58.895134,0.03137255,0.2580645
1,1,1,1,MOVE,23,47.96253,57.896378,0.07058824,0.58064514
1,1,1,1,MOVE,39,47.96253,56.21084,0.09019608,0.7419355
1,1,1,1,MOVE,56,47.96253,55.89888,0.121568635,1.0
1,1,1,1,MOVE,72,47.96253,54.0884,0.13725491,0.12903225
1,1,1,1,MOVE,89,47.96253,53.901375,0.16470589,0.16129032
1,1,1,1,MOVE,106,47.96253,51.98304,0.1764706,0.16129032
1,1,1,1,MOVE,122,47.96253,51.90387,0.19607845,0.19354838
1,1,1,1,MOVE,139,47.96253,49.87417,0.21176472,0.19354838
1,1,1,1,MOVE,155,47.96253,49.906372,0.21960786,0.22580644
1,1,1,1,MOVE,172,47.96253,48.770195,0.227451,0.22580644
1,1,1,1,MOVE,188,47.96253,48.907616,0.23137257,0.22580644
1,1,1,1,MOVE,205,47.96253,48.907616,0.2392157,0.22580644
1,1,1,1,MOVE,221,47.96253,48.907616,0.24313727,0.22580644
1,1,1,1,MOVE,238,47.96253,48.907616,0.2509804,0.2580645
1,1,1,1,MOVE,255,47.046158,48.907616,0.25490198,0.2580645
1,1,1,1,MOVE,271,46.96331,48.907616,0.2627451,0.2580645
1,1,1,1,MOVE,288,44.936863,48.907616,0.27058825,0.2580645
1,1,1,1,MOVE,304,44.384094,48.907616,0.27450982,0.2580645
1,1,1,1,MOVE,321,43.965652,48.907616,0.28235295,0.29032257
1,1,1,1,MOVE,337,43.965652,48.907616,0.28627452,0.29032257
1,1,1,1,MOVE,354,42.73318,48.907616,0.2901961,0.29032257
1,1,1,1,MOVE,371,42.169746,48.907616,0.29411766,0.29032257
1,1,1,1,MOVE,387,40.619316,48.907616,0.29803923,0.29032257
1,1,1,1,MOVE,404,40.06351,48.907616,0.29803923,0.29032257
1,1,1,1,MOVE,420,38.50343,48.907616,0.29803923,0.29032257
1,1,1,1,MOVE,437,37.951366,48.907616,0.3019608,0.29032257
1,1,1,1,MOVE,453,37.970337,48.907616,0.30588236,0.29032257
1,1,1,1,MOVE,470,37.970337,48.907616,0.30588236,0.29032257
1,1,1,1,MOVE,487,37.970337,48.907616,0.30588236,0.29032257
1,1,1,1,MOVE,503,37.970337,48.907616,0.30588236,0.29032257
1,1,1,1,MOVE,520,37.970337,48.907616,0.30588236,0.29032257
1,1,1,1,MOVE,536,36.6475,48.907616,0.30980393,0.29032257
1,1,1,1,MOVE,553,36.067417,48.907616,0.30980393,0.29032257
1,1,1,1,MOVE,569,34.514244,48.907616,0.3137255,0.32258064
1,1,1,1,MOVE,586,34.97268,48.907616,0.31764707,0.32258064
1,1,1,1,MOVE,602,34.97268,48.907616,0.31764707,0.32258064
1,1,1,1,MOVE,619,33.849365,48.907616,0.31764707,0.32258064
1,1,1,1,MOVE,636,33.973457,48.907616,0.31764707,0.32258064
1,1,1,1,MOVE,652,33.973457,48.907616,0.31764707,0.32258064
