ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,444.65262,211.70413,0.015686275,0.12903225
1,1,1,1,MOVE,26,443.65338,210.70537,0.023529414,0.19354838
1,1,1,1,MOVE,43,441.66205,209.71371,0.027450982,0.22580644
1,1,1,1,MOVE,59,441.10776,209.70662,0.03529412,0.29032257
1,1,1,1,MOVE,76,440.65573,209.70662,0.043137256,0.3548387
1,1,1,1,MOVE,92,440.65573,209.70662,0.04705883,0.38709676
1,1,1,1,MOVE,109,440.65573,209.70662,0.054901965,0.4516129
1,1,1,1,MOVE,125,440.65573,209.70662,0.058823533,0.48387095
1,1,1,1,MOVE,142,440.65573,210.99802,0.054901965,0.4516129
1,1,1,1,UP,149,440.65573,210.99802,0.054901965,0.4516129
1,2,1,1,DOWN,0,672.4746,186.73534,0.023529414,0.19354838
1,2,1,1,MOVE,22,671.3393,186.73534,0.04705883,0.38709676
1,2,1,1,MOVE,39,671.4754,186.73534,0.054901965,0.4516129
1,2,1,1,MOVE,55,671.4754,186.73534,0.07058824,0.58064514
1,2,1,1,MOVE,72,671.4754,186.73534,0.07450981,0.61290324
1,2,1,1,MOVE,89,671.4754,186.73534,0.08235294,0.6774193
1,2,1,1,MOVE,105,671.4754,186.73534,0.08627451,0.7096774
1,2,1,1,MOVE,122,671.4754,186.73534,0.09411766,0.7741935
1,2,1,1,MOVE,138,671.4754,186.73534,0.098039225,0.80645156
1,2,1,1,MOVE,155,671.4754,186.73534,0.10196079,0.83870965
1,2,1,1,MOVE,171,671.4754,186.73534,0.10196079,0.83870965
1,2,1,1,MOVE,188,670.4762,186.73534,0.10196079,0.83870965
1,2,1,1,MOVE,205,669.2628,186.73534,0.10196079,0.83870965
1,2,1,1,MOVE,221,669.477,188.4941,0.10196079,0.83870965
1,2,1,1,MOVE,238,669.477,191.34868,0.098039225,0.80645156
1,2,1,1,UP,245,669.477,191.34868,0.098039225,0.80645156
2,1,1,1,DOWN,0,670.4762,509.3321,0.027450982,0.22580644
2,1,1,1,MOVE,21,670.4762,509.3321,0.039215688,0.32258064
2,1,1,1,MOVE,37,670.4762,509.3321,0.0627451,0.516129
2,1,1,1,MOVE,55,669.477,509.3321,0.078431375,0.6451613
2,1,1,1,MOVE,72,669.477,509.3321,0.08627451,0.7096774
2,1,1,1,MOVE,88,669.477,509.3321,0.09411766,0.7741935
2,1,1,1,MOVE,105,668.4777,508.48718,0.098039225,0.80645156
2,1,1,1,MOVE,122,667.0911,508.33337,0.10196079,0.83870965
2,1,1,1,MOVE,138,666.4793,507.3346,0.10196079,0.83870965
2,1,1,1,MOVE,139,666.4793,507.3346,0.10196079,0.83870965
2,1,1,1,UP,149,666.4793,507.3346,0.10196079,0.83870965
3,1,1,1,DOWN,0,186.85402,495.34955,0.023529414,0.19354838
3,1,1,1,MOVE,26,185.8548,494.35083,0.04705883,0.38709676
3,1,1,1,MOVE,42,183.89185,492.3888,0.058823533,0.48387095
3,1,1,1,MOVE,60,183.24815,491.74536,0.07450981,0.61290324
3,1,1,1,MOVE,77,181.7005,490.1985,0.08627451,0.7096774
3,1,1,1,MOVE,93,181.85793,489.646,0.09019608,0.7419355
3,1,1,1,MOVE,110,181.85793,489.35706,0.098039225,0.80645156
3,1,1,1,MOVE,126,181.85793,489.35706,0.10196079,0.83870965
3,1,1,1,MOVE,143,181.85793,489.35706,0.10196079,0.83870965
3,1,1,1,MOVE,150,183.85637,490.35583,0.098039225,0.80645156
3,1,1,1,UP,160,183.85637,490.35583,0.098039225,0.80645156
4,1,1,1,DOWN,0,1055.1757,497.3471,0.027450982,0.22580644
4,1,1,1,MOVE,20,1054.1764,497.3471,0.039215688,0.32258064
4,1,1,1,MOVE,36,1054.1764,497.3471,0.0627451,0.516129
4,1,1,1,MOVE,53,1054.1764,497.3471,0.07058824,0.58064514
4,1,1,1,MOVE,70,1054.1764,499.4801,0.08235294,0.6774193
4,1,1,1,MOVE,87,1054.1764,501.45563,0.08627451,0.7096774
4,1,1,1,MOVE,103,1055.1757,503.00854,0.08627451,0.7096774
4,1,1,1,MOVE,120,1055.1757,503.3396,0.08627451,0.7096774
4,1,1,1,MOVE,136,1055.1757,503.3396,0.08627451,0.7096774
4,1,1,1,MOVE,153,1055.1757,503.3396,0.08235294,0.6774193
4,1,1,1,MOVE,160,1055.1757,503.3396,0.078431375,0.6451613
4,1,1,1,UP,171,1055.1757,503.3396,0.078431375,0.6451613
5,1,1,1,DOWN,0,1035.1913,216.69788,0.027450982,0.22580644
5,1,1,1,MOVE,12,1034.1204,215.62747,0.039215688,0.32258064
5,1,1,1,MOVE,32,1033.1929,214.70038,0.0627451,0.516129
5,1,2,1,MOVE,32,1033.1929,214.70038,0.0627451,0.516129
5,1,2,2,DOWN,32,1256.0187,404.46317,0.023529414,0.19354838
5,1,2,2,UP,43,1256.0187,404.46317,0.023529414,0.19354838
5,1,2,1,MOVE,43,1033.1929,214.70038,0.0627451,0.516129
5,1,1,1,MOVE,45,1032.0038,213.51192,0.07058824,0.58064514
5,1,1,1,MOVE,60,1031.5631,213.07146,0.078431375,0.6451613
5,1,1,1,MOVE,77,1030.0183,211.52728,0.08627451,0.7096774
5,1,1,1,MOVE,93,1030.1952,210.97801,0.09019608,0.7419355
5,1,1,1,MOVE,110,1030.1952,210.70537,0.098039225,0.80645156
5,1,1,1,MOVE,127,1030.1952,210.70537,0.098039225,0.80645156
5,1,1,1,MOVE,143,1032.9283,212.07137,0.098039225,0.80645156
5,1,1,1,UP,150,1032.9283,212.07137,0.098039225,0.80645156
6,1,1,1,DOWN,0,202.84152,203.71411,0.027450982,0.22580644
6,1,1,1,MOVE,11,201.80957,203.71411,0.039215688,0.32258064
6,1,1,1,MOVE,28,201.2449,202.71536,0.050980397,0.41935483
6,1,1,1,MOVE,44,199.69537,202.71536,0.07058824,0.58064514
6,1,1,1,MOVE,61,199.14172,201.71661,0.078431375,0.6451613
6,1,1,1,MOVE,77,198.84465,200.46808,0.08627451,0.7096774
6,1,1,1,MOVE,94,198.84465,199.91408,0.09019608,0.7419355
6,1,1,1,MOVE,110,198.84465,198.36751,0.08627451,0.7096774
6,1,1,1,MOVE,127,198.84465,197.81766,0.078431375,0.6451613
6,1,1,1,MOVE,128,198.84465,197.7216,0.07058824,0.58064514
6,1,1,1,UP,139,198.84465,197.7216,0.07058824,0.58064514
TPS: 5
