ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,653.48944,220.69289,0.019607844,0.16129032
1,1,1,1,MOVE,16,653.48944,220.69289,0.03137255,0.2580645
1,1,1,1,MOVE,33,653.48944,220.69289,0.0627451,0.516129
1,1,1,1,MOVE,49,653.48944,219.69414,0.08235294,0.6774193
1,1,1,1,MOVE,66,653.48944,218.50142,0.11764707,0.9677419
1,1,1,1,MOVE,82,653.48944,217.69664,0.13333334,0.12903225
1,1,1,1,MOVE,99,653.48944,216.42618,0.16470589,0.16129032
1,1,1,1,MOVE,115,653.48944,215.69913,0.18039216,0.16129032
1,1,1,1,MOVE,132,653.48944,215.69913,0.21176472,0.19354838
1,1,1,1,MOVE,149,653.48944,214.77237,0.22352943,0.22580644
1,1,1,1,MOVE,165,654.9713,214.70038,0.227451,0.22580644
1,1,1,1,UP,171,654.9713,214.70038,0.227451,0.22580644
2,1,1,1,DOWN,0,625.5113,529.3071,0.03529412,0.29032257
2,1,1,1,MOVE,24,624.2176,528.014,0.08235294,0.6774193
2,1,1,1,MOVE,41,623.6595,527.4562,0.10588236,0.87096775
2,1,1,1,MOVE,58,623.5129,527.30963,0.14509805,0.12903225
2,1,1,1,MOVE,70,622.96967,527.30963,0.16470589,0.16129032
2,1,1,1,MOVE,86,622.5137,527.30963,0.19607845,0.19354838
2,1,1,1,MOVE,103,622.5137,527.30963,0.21568629,0.19354838
2,1,1,1,MOVE,119,622.5137,527.30963,0.2509804,0.2580645
2,1,1,1,MOVE,136,622.5137,527.30963,0.26666668,0.2580645
2,1,1,1,MOVE,152,622.5137,527.30963,0.2901961,0.29032257
2,1,1,1,MOVE,169,622.5137,527.30963,0.29803923,0.29032257
2,1,1,1,MOVE,186,622.5137,527.30963,0.30588236,0.29032257
2,1,1,1,MOVE,202,622.5137,527.30963,0.30588236,0.29032257
2,1,1,1,MOVE,219,622.5137,527.30963,0.3137255,0.32258064
2,1,1,1,MOVE,235,622.5137,527.30963,0.32156864,0.32258064
2,1,1,1,MOVE,252,622.5137,527.30963,0.3254902,0.32258064
2,1,1,1,MOVE,268,622.5137,527.30963,0.31764707,0.32258064
2,1,1,1,MOVE,278,622.5137,527.30963,0.29803923,0.29032257
2,1,1,1,UP,289,622.5137,527.30963,0.29803923,0.29032257
3,1,1,1,DOWN,0,215.83138,543.2897,0.043137256,0.3548387
3,1,1,1,MOVE,22,214.83217,542.2909,0.07450981,0.61290324
3,1,1,1,MOVE,38,213.2738,540.7333,0.12941177,0.12903225
3,1,1,1,MOVE,55,212.83372,540.2934,0.18039216,0.16129032
3,1,1,1,MOVE,75,210.85391,538.3145,0.21176472,0.19354838
3,1,1,1,MOVE,91,210.83528,537.7808,0.27450982,0.2580645
3,1,1,1,MOVE,108,210.83528,536.2404,0.32941177,0.32258064
3,1,1,1,MOVE,124,210.83528,536.2984,0.3529412,0.3548387
3,1,1,1,MOVE,141,210.83528,536.2984,0.38431376,0.38709676
3,1,1,1,MOVE,158,210.83528,535.2996,0.39607847,0.38709676
3,1,1,1,MOVE,174,210.83528,534.04736,0.4156863,0.41935483
3,1,1,1,MOVE,191,210.83528,533.3021,0.42352945,0.41935483
3,1,1,1,MOVE,207,210.83528,531.941,0.43529415,0.41935483
3,1,1,1,MOVE,224,210.83528,531.3046,0.43921572,0.4516129
3,1,1,1,MOVE,240,210.83528,529.86017,0.43921572,0.4516129
3,1,1,1,MOVE,257,210.83528,530.3059,0.4156863,0.41935483
3,1,1,1,UP,268,210.83528,530.3059,0.4156863,0.41935483
4,1,1,1,DOWN,0,1053.1772,534.3009,0.039215688,0.32258064
4,1,1,1,MOVE,25,1053.1772,534.3009,0.10196079,0.83870965
4,1,1,1,MOVE,42,1052.3179,533.44196,0.13333334,0.12903225
4,1,1,1,MOVE,62,1052.178,532.56885,0.18431373,0.16129032
4,1,1,1,MOVE,78,1052.178,532.3034,0.22352943,0.22580644
4,1,1,1,MOVE,95,1052.178,532.3034,0.24313727,0.22580644
4,1,1,1,MOVE,111,1052.178,532.3034,0.28235295,0.29032257
4,1,1,1,MOVE,128,1051.1787,532.3034,0.3019608,0.29032257
4,1,1,1,MOVE,144,1049.7062,532.3034,0.33333334,0.32258064
4,1,1,1,MOVE,161,1049.1803,531.2701,0.35686275,0.3548387
4,1,1,1,MOVE,178,1047.6147,530.7385,0.36862746,0.3548387
4,1,1,1,MOVE,194,1047.1819,529.1939,0.38431376,0.38709676
4,1,1,1,MOVE,211,1045.518,528.6427,0.38823533,0.38709676
4,1,1,1,MOVE,227,1045.1835,527.11615,0.39607847,0.38709676
4,1,1,1,MOVE,244,1043.4213,526.54694,0.40000004,0.38709676
4,1,1,1,MOVE,260,1043.185,525.0118,0.40784317,0.41935483
4,1,1,1,MOVE,277,1041.3312,524.45795,0.41176474,0.41935483
4,1,1,1,MOVE,293,1041.1865,522.91595,0.41960788,0.41935483
4,1,1,1,MOVE,310,1039.2455,522.37317,0.42352945,0.41935483
4,1,1,1,MOVE,327,1039.1881,520.8213,0.43137258,0.41935483
4,1,1,1,MOVE,343,1037.1565,520.2852,0.43921572,0.4516129
4,1,1,1,MOVE,360,1036.603,519.31964,0.43921572,0.4516129
4,1,1,1,MOVE,376,1036.1904,518.1762,0.43529415,0.41935483
4,1,1,1,MOVE,393,1036.1904,517.3221,0.43137258,0.41935483
4,1,1,1,MOVE,409,1036.1904,517.3221,0.40000004,0.38709676
4,1,1,1,UP,417,1036.1904,517.3221,0.40000004,0.38709676
5,1,1,1,DOWN,0,1277.0023,628.18353,0.023529414,0.19354838
5,1,1,1,MOVE,21,1276.0032,627.18475,0.050980397,0.41935483
5,1,2,1,MOVE,21,1276.0032,627.18475,0.050980397,0.41935483
5,1,2,2,DOWN,21,1073.1616,238.67041,0.039215688,0.32258064
5,1,2,1,MOVE,34,1276.0032,627.18475,0.0627451,0.516129
5,1,2,2,MOVE,34,1072.1624,237.67166,0.06666667,0.54838705
5,1,2,1,MOVE,50,1275.0039,626.18604,0.07058824,0.58064514
5,1,2,2,MOVE,50,1071.4154,236.92499,0.09019608,0.7419355
5,1,2,1,MOVE,67,1273.674,624.85675,0.08627451,0.7096774
5,1,2,2,MOVE,67,1068.5033,234.01437,0.1254902,0.12903225
5,1,2,1,MOVE,84,1273.0055,624.18854,0.09019608,0.7419355
5,1,2,2,MOVE,84,1066.3995,232.79407,0.14509805,0.12903225
5,1,2,1,MOVE,85,1273.0055,624.18854,0.09019608,0.7419355
5,1,2,2,MOVE,85,1066.1671,232.67792,0.16862746,0.16129032
5,1,2,1,UP,96,1273.0055,624.18854,0.09019608,0.7419355
5,1,2,2,MOVE,96,1066.1671,232.67792,0.16862746,0.16129032
5,1,1,2,MOVE,100,1061.8818,231.25018,0.19607845,0.19354838
5,1,1,2,MOVE,117,1057.2129,230.6804,0.22352943,0.22580644
5,1,1,2,MOVE,133,1052.5604,231.21881,0.2784314,0.2580645
5,1,1,2,MOVE,150,1049.0289,231.67917,0.3254902,0.32258064
5,1,1,2,MOVE,167,1047.5498,231.67917,0.34509805,0.3548387
5,1,1,2,MOVE,183,1045.9945,231.67917,0.3803922,0.38709676
5,1,1,2,MOVE,200,1044.4636,231.67917,0.39607847,0.38709676
5,1,1,2,MOVE,216,1042.9222,231.67917,0.427451,0.41935483
5,1,1,2,MOVE,233,1042.3688,231.67917,0.44705886,0.4516129
5,1,1,2,MOVE,249,1040.8218,231.67917,0.4784314,0.48387095
5,1,1,2,MOVE,266,1040.2751,230.76811,0.4901961,0.48387095
5,1,1,2,MOVE,282,1038.7316,230.6804,0.50980395,0.516129
5,1,1,2,MOVE,299,1038.1797,228.67361,0.5254902,0.516129
5,1,1,2,MOVE,316,1037.1897,228.6829,0.53333336,0.54838705
5,1,1,2,MOVE,332,1037.1897,228.6829,0.5411765,0.54838705
5,1,1,2,MOVE,349,1037.1897,228.6829,0.54509807,0.54838705
5,1,1,2,MOVE,365,1037.1897,228.6829,0.5529412,0.54838705
5,1,1,2,MOVE,382,1037.1897,228.6829,0.5529412,0.54838705
5,1,1,2,MOVE,398,1037.1897,228.6829,0.5176471,0.516129
5,1,1,2,UP,406,1037.1897,228.6829,0.5176471,0.516129
TPS: 10
Test was not completed
