ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,647.49414,291.60425,0.039215688,0.32258064
1,1,1,1,MOVE,24,646.49493,291.60425,0.08627451,0.7096774
1,1,1,1,MOVE,40,644.6617,291.60425,0.10588236,0.87096775
1,1,1,1,MOVE,57,644.49646,291.60425,0.13333334,0.12903225
1,1,1,1,MOVE,74,642.5659,291.60425,0.14117648,0.12903225
1,1,1,1,MOVE,90,641.022,291.60425,0.15686275,0.16129032
1,1,1,1,MOVE,107,637.4307,291.60425,0.17254902,0.16129032
1,1,1,1,MOVE,123,635.3583,291.03232,0.18431373,0.16129032
1,1,1,1,MOVE,140,633.3874,290.6055,0.20784315,0.19354838
1,1,1,1,MOVE,156,632.50586,289.60675,0.21960786,0.22580644
1,1,1,1,MOVE,173,631.30585,288.40726,0.227451,0.22580644
1,1,1,1,MOVE,189,630.5074,287.60925,0.21568629,0.19354838
1,1,1,1,MOVE,192,630.5074,287.60925,0.19607845,0.19354838
1,1,1,1,UP,203,630.5074,287.60925,0.19607845,0.19354838
1,2,1,1,DOWN,0,645.4957,260.64294,0.121568635,1.0
1,2,1,1,MOVE,26,645.4957,259.15042,0.15686275,0.16129032
1,2,1,1,MOVE,43,645.4957,257.6107,0.20000002,0.19354838
1,2,1,1,MOVE,59,646.0807,257.062,0.22352943,0.22580644
1,2,1,1,MOVE,76,647.6262,256.64795,0.28235295,0.29032257
1,2,1,1,MOVE,93,649.1773,256.64795,0.3137255,0.32258064
1,2,1,1,MOVE,109,650.70374,256.64795,0.36862746,0.3548387
1,2,1,1,MOVE,126,652.264,257.42056,0.3921569,0.38709676
1,2,1,1,MOVE,142,653.803,257.6467,0.43529415,0.41935483
1,2,1,1,MOVE,159,654.4887,258.517,0.45098042,0.4516129
1,2,1,1,MOVE,175,655.90094,258.64545,0.4784314,0.48387095
1,2,1,1,MOVE,192,655.4879,258.64545,0.4901961,0.48387095
1,2,1,1,MOVE,209,655.4879,258.64545,0.50980395,0.516129
1,2,1,1,MOVE,225,656.536,259.69305,0.5254902,0.516129
1,2,1,1,MOVE,242,656.4871,259.6442,0.53333336,0.54838705
1,2,1,1,MOVE,258,656.4871,259.6442,0.5411765,0.54838705
1,2,1,1,MOVE,275,656.4871,259.6442,0.54509807,0.54838705
1,2,1,1,MOVE,291,656.4871,259.6442,0.5529412,0.54838705
1,2,1,1,MOVE,308,656.4871,259.6442,0.5568628,0.54838705
1,2,1,1,MOVE,324,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,341,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,358,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,374,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,391,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,407,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,424,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,440,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,457,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,473,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,490,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,507,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,523,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,540,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,556,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,573,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,589,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,606,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,623,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,639,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,656,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,672,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,689,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,705,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,722,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,753,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,772,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,801,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,821,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,849,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,871,656.4871,259.6442,0.56078434,0.54838705
1,2,1,1,MOVE,888,655.4879,258.64545,0.56078434,0.54838705
1,2,1,1,MOVE,904,654.6228,257.78073,0.56078434,0.54838705
1,2,1,1,MOVE,913,653.98914,257.14734,0.56078434,0.54838705
1,2,1,1,MOVE,937,653.2353,256.39395,0.56078434,0.54838705
1,2,1,1,MOVE,963,652.15753,253.98538,0.56078434,0.54838705
1,2,1,1,MOVE,987,651.157,251.98517,0.56078434,0.54838705
1,2,1,1,MOVE,1003,649.45166,250.61453,0.56078434,0.54838705
1,2,1,1,MOVE,1035,646.8246,247.98871,0.56078434,0.54838705
1,2,1,1,MOVE,1053,646.4073,246.48523,0.56078434,0.54838705
1,2,1,1,MOVE,1070,643.9689,242.8732,0.56078434,0.54838705
1,2,1,1,MOVE,1082,642.9977,240.66794,0.56078434,0.54838705
1,2,1,1,MOVE,1099,641.9984,240.16852,0.56078434,0.54838705
1,2,1,1,MOVE,1119,642.49805,240.66791,0.56078434,0.54838705
1,2,1,1,MOVE,1149,641.16675,239.33722,0.56078434,0.54838705
1,2,1,1,MOVE,1169,640.30646,238.47733,0.56078434,0.54838705
1,2,1,1,MOVE,1196,640.49963,238.67041,0.56078434,0.54838705
1,2,1,1,MOVE,1219,639.2419,237.41333,0.56078434,0.54838705
1,2,1,1,MOVE,1245,638.1689,236.34082,0.56078434,0.54838705
1,2,1,1,MOVE,1269,638.50116,236.67291,0.56078434,0.54838705
1,2,1,1,MOVE,1285,637.48566,235.6579,0.56078434,0.54838705
1,2,1,1,MOVE,1317,636.1692,234.34201,0.56078434,0.54838705
1,2,1,1,MOVE,1335,636.50275,234.67542,0.56078434,0.54838705
1,2,1,1,MOVE,1365,635.17053,233.34381,0.56078434,0.54838705
1,2,1,1,MOVE,1384,634.35516,232.5289,0.56078434,0.54838705
1,2,1,1,MOVE,1413,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1434,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1461,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1484,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1509,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1533,634.5043,232.67792,0.56078434,0.54838705
1,2,1,1,MOVE,1550,633.4468,232.67792,0.5254902,0.516129
1,2,1,1,MOVE,1580,633.50507,232.67792,0.53333336,0.54838705
1,2,1,1,MOVE,1600,633.50507,232.67792,0.5372549,0.54838705
1,2,1,1,MOVE,1628,633.50507,232.67792,0.53333336,0.54838705
1,2,1,1,MOVE,1649,633.50507,232.67792,0.5294118,0.516129
1,2,1,1,MOVE,1676,633.50507,232.67792,0.5254902,0.516129
1,2,1,1,MOVE,1699,633.50507,232.67792,0.52156866,0.516129
1,2,1,1,MOVE,1716,633.50507,232.67792,0.5176471,0.516129
1,2,1,1,MOVE,1747,633.50507,232.67792,0.5137255,0.516129
1,2,1,1,MOVE,1765,633.50507,232.67792,0.50980395,0.516129
1,2,1,1,MOVE,1795,633.50507,232.67792,0.5058824,0.516129
1,2,1,1,MOVE,1815,633.50507,232.67792,0.5019608,0.516129
1,2,1,1,MOVE,1843,633.50507,232.67792,0.5019608,0.516129
1,2,1,1,MOVE,1865,633.50507,232.67792,0.49803925,0.48387095
1,2,1,1,MOVE,1890,633.50507,232.67792,0.49411768,0.48387095
1,2,1,1,MOVE,1914,633.50507,232.67792,0.4901961,0.48387095
1,2,1,1,MOVE,1931,633.50507,232.67792,0.4901961,0.48387095
1,2,1,1,MOVE,1962,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,1981,633.50507,232.67792,0.48235297,0.48387095
1,2,1,1,MOVE,2010,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2030,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2057,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2080,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2105,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2129,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2146,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2177,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2196,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2224,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2246,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2272,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2295,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2312,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2344,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2362,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2392,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2411,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2439,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2461,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2487,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2510,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2527,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2559,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2577,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2606,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2627,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2654,633.50507,232.67792,0.4784314,0.48387095
1,2,1,1,MOVE,2676,633.50507,232.67792,0.48235297,0.48387095
1,2,1,1,MOVE,2702,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2725,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2743,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2773,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2792,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2821,633.50507,232.67792,0.48627454,0.48387095
1,2,1,1,MOVE,2842,633.50507,232.67792,0.4901961,0.48387095
