ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,23.981264,83.86392,0.07450981,0.61290324
1,1,1,1,MOVE,22,23.981264,82.734406,0.19215688,0.19354838
1,1,1,1,MOVE,39,23.981264,82.1851,0.2392157,0.22580644
1,1,1,1,MOVE,55,23.981264,81.86642,0.31764707,0.32258064
1,1,1,1,MOVE,71,23.981264,80.86767,0.34509805,0.3548387
1,1,1,1,MOVE,88,25.231174,79.61835,0.38823533,0.38709676
1,1,1,1,MOVE,104,26.792522,78.057724,0.4039216,0.38709676
1,1,1,1,MOVE,121,28.330345,76.520615,0.41960788,0.41935483
1,1,1,1,MOVE,137,28.887825,73.05665,0.41960788,0.41935483
1,1,1,1,MOVE,138,28.977362,72.877655,0.40000004,0.38709676
1,1,1,1,UP,149,28.977362,72.877655,0.40000004,0.38709676
1,2,1,1,DOWN,0,40.967995,71.87891,0.050980397,0.41935483
1,2,1,1,MOVE,20,40.111057,71.87891,0.098039225,0.80645156
1,2,1,1,MOVE,37,39.968773,70.46795,0.18823531,0.19354838
1,2,1,1,MOVE,53,38.000385,69.91144,0.227451,0.22580644
1,2,1,1,MOVE,63,37.970337,68.95276,0.2627451,0.2580645
1,2,1,1,MOVE,80,37.970337,68.88265,0.32156864,0.32258064
1,2,1,1,MOVE,97,36.971115,66.849915,0.34117648,0.32258064
1,2,1,1,UP,107,36.971115,66.849915,0.34117648,0.32258064
2,1,1,1,DOWN,0,1206.0577,81.86642,0.043137256,0.3548387
2,1,1,1,MOVE,21,1206.0577,81.86642,0.1254902,0.12903225
2,1,1,1,MOVE,38,1206.0577,81.86642,0.16470589,0.16129032
2,1,1,1,MOVE,54,1206.0577,81.86642,0.2392157,0.22580644
2,1,1,1,MOVE,68,1206.0577,80.42326,0.27450982,0.2580645
2,1,1,1,MOVE,85,1206.0577,79.87196,0.30588236,0.29032257
2,1,1,1,MOVE,102,1206.0577,78.87016,0.34901962,0.3548387
2,1,1,1,MOVE,118,1206.0577,77.78313,0.37254903,0.3548387
2,1,1,1,MOVE,128,1206.0577,76.87266,0.36862746,0.3548387
2,1,1,1,UP,138,1206.0577,76.87266,0.36862746,0.3548387
2,2,1,1,DOWN,0,1170.0858,77.871414,0.03137255,0.2580645
2,2,1,1,MOVE,17,1170.0858,77.871414,0.054901965,0.4516129
2,2,1,1,MOVE,34,1170.0858,77.871414,0.10196079,0.83870965
2,2,1,1,MOVE,50,1170.0858,77.871414,0.121568635,1.0
2,2,1,1,MOVE,69,1170.0858,77.871414,0.15686275,0.16129032
2,2,1,1,MOVE,86,1170.0858,77.871414,0.18431373,0.16129032
2,2,1,1,MOVE,102,1170.6356,77.871414,0.19607845,0.19354838
2,2,1,1,MOVE,119,1172.1853,77.871414,0.21176472,0.19354838
2,2,1,1,MOVE,135,1173.7365,77.871414,0.22352943,0.22580644
