ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,655.4879,213.70163,0.03137255,0.2580645
1,1,1,1,MOVE,15,655.4879,213.70163,0.050980397,0.41935483
1,1,1,1,MOVE,31,654.4887,212.70288,0.07058824,0.58064514
1,1,1,1,MOVE,48,654.4887,211.20752,0.10588236,0.87096775
1,1,1,1,MOVE,64,653.4484,210.70537,0.13333334,0.12903225
1,1,1,1,MOVE,81,653.48944,210.70537,0.14509805,0.12903225
1,1,1,1,MOVE,96,653.48944,210.70537,0.16078432,0.16129032
1,1,2,1,MOVE,96,653.48944,210.70537,0.16078432,0.16129032
1,1,2,2,DOWN,96,802.37317,149.78152,0.03137255,0.2580645
1,1,2,1,MOVE,106,653.48944,210.70537,0.16862746,0.16129032
1,1,2,2,MOVE,106,802.37317,149.78152,0.050980397,0.41935483
1,1,3,1,MOVE,106,653.48944,210.70537,0.16862746,0.16129032
1,1,3,2,MOVE,106,802.37317,149.78152,0.050980397,0.41935483
1,1,3,3,DOWN,106,945.26154,177.74657,0.023529414,0.19354838
1,1,3,1,MOVE,131,653.48944,210.70537,0.18431373,0.16129032
1,1,3,2,MOVE,131,801.08746,149.78152,0.08235294,0.6774193
1,1,3,3,MOVE,131,945.26154,177.74657,0.043137256,0.3548387
1,1,3,1,MOVE,147,652.67554,210.70537,0.18823531,0.19354838
1,1,3,2,MOVE,147,801.3739,149.78152,0.098039225,0.80645156
1,1,3,3,MOVE,147,945.26154,177.74657,0.050980397,0.41935483
1,1,3,1,MOVE,164,652.49023,210.70537,0.19607845,0.19354838
1,1,3,2,MOVE,164,801.3739,149.78152,0.1254902,0.12903225
1,1,3,3,MOVE,164,945.26154,177.74657,0.07450981,0.61290324
1,1,3,1,MOVE,180,651.491,209.78035,0.20000002,0.19354838
1,1,3,2,MOVE,180,801.3739,148.78278,0.13725491,0.12903225
1,1,3,3,MOVE,180,944.26227,176.74782,0.08235294,0.6774193
1,1,3,1,MOVE,197,651.491,209.70662,0.20784315,0.19354838
1,1,3,2,MOVE,197,801.3739,148.78278,0.15686275,0.16129032
1,1,3,3,MOVE,197,944.26227,176.74782,0.098039225,0.80645156
1,1,3,1,MOVE,202,651.491,209.70662,0.21176472,0.19354838
1,1,3,2,MOVE,202,801.3739,148.78278,0.16470589,0.16129032
1,1,3,3,MOVE,202,944.26227,176.74782,0.10588236,0.87096775
1,1,4,1,MOVE,202,651.491,209.70662,0.21176472,0.19354838
1,1,4,2,MOVE,202,801.3739,148.78278,0.16470589,0.16129032
1,1,4,3,MOVE,202,944.26227,176.74782,0.10588236,0.87096775
1,1,4,4,DOWN,202,1150.1014,285.61176,0.023529414,0.19354838
1,1,4,1,MOVE,213,651.491,208.67433,0.21568629,0.19354838
1,1,4,2,MOVE,213,801.3739,148.78278,0.17254902,0.16129032
1,1,4,3,MOVE,213,944.26227,176.74782,0.1137255,0.9354838
1,1,4,4,MOVE,213,1150.1014,285.61176,0.03529412,0.29032257
1,1,4,1,MOVE,229,651.491,208.70787,0.21960786,0.22580644
1,1,4,2,MOVE,229,801.3739,148.78278,0.18039216,0.16129032
1,1,4,3,MOVE,229,942.7634,175.2497,0.121568635,1.0
1,1,4,4,MOVE,229,1150.1014,285.61176,0.04705883,0.38709676
1,1,4,1,MOVE,240,651.491,208.70787,0.22352943,0.22580644
1,1,4,2,MOVE,240,801.3739,148.78278,0.18431373,0.16129032
1,1,4,3,MOVE,240,943.26306,175.74907,0.12941177,0.12903225
1,1,4,4,MOVE,240,1148.6028,285.61176,0.058823533,0.48387095
1,1,4,1,MOVE,279,651.491,208.70787,0.23529413,0.22580644
1,1,4,2,MOVE,279,800.3747,148.78278,0.20000002,0.19354838
1,1,4,3,MOVE,279,941.26465,174.75032,0.14509805,0.12903225
1,1,4,4,MOVE,279,1147.1039,285.61176,0.09019608,0.7419355
1,1,4,4,UP,290,1147.1039,285.61176,0.09019608,0.7419355
1,1,4,1,MOVE,290,651.491,208.70787,0.23529413,0.22580644
1,1,4,2,MOVE,290,800.3747,148.78278,0.20000002,0.19354838
1,1,4,3,MOVE,290,941.26465,174.75032,0.14509805,0.12903225
1,1,3,1,MOVE,300,651.491,208.70787,0.24313727,0.22580644
1,1,3,2,MOVE,300,800.3747,148.78278,0.19607845,0.19354838
1,1,3,3,MOVE,300,940.26544,174.75032,0.14117648,0.12903225
1,1,3,3,UP,311,940.26544,174.75032,0.14117648,0.12903225
1,1,3,1,MOVE,311,651.491,208.70787,0.24313727,0.22580644
1,1,3,2,MOVE,311,800.3747,148.78278,0.19607845,0.19354838
1,1,2,1,MOVE,311,651.491,208.70787,0.24705884,0.22580644
1,1,2,2,MOVE,311,800.3747,148.78278,0.18431373,0.16129032
1,1,2,2,UP,322,800.3747,148.78278,0.18431373,0.16129032
1,1,2,1,MOVE,322,651.491,208.70787,0.24705884,0.22580644
1,1,1,1,MOVE,346,651.491,207.70912,0.25882354,0.2580645
1,1,1,1,MOVE,362,651.491,207.70912,0.2627451,0.2580645
1,1,1,1,MOVE,379,651.491,207.70912,0.27058825,0.2580645
1,1,1,1,MOVE,395,651.491,207.70912,0.27450982,0.2580645
1,1,1,1,MOVE,412,651.491,207.70912,0.28235295,0.29032257
1,1,1,1,MOVE,429,651.491,207.70912,0.2901961,0.29032257
1,1,1,1,MOVE,445,651.491,207.70912,0.29411766,0.29032257
1,1,1,1,MOVE,462,651.491,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,478,650.7787,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,495,650.4918,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,511,650.4918,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,528,650.4918,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,545,650.4918,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,561,650.4918,207.70912,0.3019608,0.29032257
1,1,1,1,MOVE,578,650.4918,207.70912,0.30588236,0.29032257
1,1,1,1,MOVE,594,650.4918,207.70912,0.30588236,0.29032257
1,1,1,1,MOVE,611,649.3603,207.70912,0.30588236,0.29032257
1,1,1,1,MOVE,627,649.49255,207.70912,0.30588236,0.29032257
1,1,1,1,MOVE,644,649.49255,207.70912,0.3137255,0.32258064
1,1,1,1,MOVE,652,649.49255,207.70912,0.3137255,0.32258064
1,1,2,1,MOVE,662,649.49255,207.70912,0.3137255,0.32258064
1,1,2,5,DOWN,662,1121.1241,303.58926,0.03137255,0.2580645
1,1,2,1,MOVE,677,649.49255,207.70912,0.3137255,0.32258064
1,1,2,5,MOVE,677,1121.1241,303.58926,0.050980397,0.41935483
1,1,2,1,MOVE,694,649.49255,207.70912,0.31764707,0.32258064
1,1,2,5,MOVE,694,1121.1241,302.5905,0.07058824,0.58064514
1,1,2,1,MOVE,710,649.49255,207.70912,0.31764707,0.32258064
1,1,2,5,MOVE,710,1121.1241,302.5905,0.10196079,0.83870965
1,1,2,1,MOVE,727,649.49255,207.70912,0.32156864,0.32258064
1,1,2,5,MOVE,727,1121.1241,301.59177,0.13333334,0.12903225
1,1,2,1,MOVE,743,649.49255,207.70912,0.3254902,0.32258064
1,1,2,5,MOVE,743,1121.1241,301.00455,0.14509805,0.12903225
1,1,2,1,MOVE,760,649.49255,207.70912,0.3254902,0.32258064
1,1,2,5,MOVE,760,1121.1241,300.59302,0.16862746,0.16129032
1,1,2,1,MOVE,776,649.49255,207.70912,0.32941177,0.32258064
1,1,2,5,MOVE,776,1121.1241,299.59427,0.1764706,0.16129032
1,1,2,1,MOVE,793,649.49255,207.70912,0.3372549,0.32258064
1,1,2,5,MOVE,793,1121.1241,298.35403,0.19215688,0.19354838
1,1,2,1,MOVE,810,648.49335,207.70912,0.34117648,0.32258064
1,1,2,5,MOVE,810,1121.1241,297.77615,0.20000002,0.19354838
1,1,2,1,MOVE,826,648.49335,207.70912,0.34901962,0.3548387
1,1,2,5,MOVE,826,1121.1241,296.26154,0.20392159,0.19354838
1,1,2,1,MOVE,843,648.49335,206.71037,0.3529412,0.3548387
1,1,2,5,MOVE,843,1120.2065,295.6809,0.20392159,0.19354838
1,1,2,1,MOVE,843,648.49335,206.71037,0.35686275,0.3548387
1,1,2,5,MOVE,843,1120.1249,295.59924,0.19607845,0.19354838
1,1,2,5,UP,854,1120.1249,295.59924,0.19607845,0.19354838
1,1,2,1,MOVE,854,648.49335,206.71037,0.35686275,0.3548387
1,1,1,1,MOVE,859,648.49335,206.71037,0.36078432,0.3548387
1,1,1,1,MOVE,876,648.49335,206.71037,0.36078432,0.3548387
