ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,48.96175,48.907616,0.03137255,0.2580645
1,1,1,1,MOVE,27,48.96175,48.907616,0.078431375,0.6451613
1,1,1,1,MOVE,43,48.96175,48.907616,0.1254902,0.12903225
1,1,1,1,MOVE,60,47.96253,47.908867,0.14901961,0.12903225
1,1,1,1,MOVE,76,47.96253,47.908867,0.18823531,0.19354838
1,1,1,1,MOVE,93,47.96253,47.908867,0.20784315,0.19354838
1,1,1,1,MOVE,109,47.96253,47.908867,0.24313727,0.22580644
1,1,1,1,MOVE,126,46.96331,46.91011,0.25882354,0.2580645
1,1,1,1,MOVE,143,46.96331,46.91011,0.28235295,0.29032257
1,1,1,1,MOVE,159,46.96331,46.91011,0.30588236,0.29032257
1,1,1,1,MOVE,176,46.96331,46.337166,0.3137255,0.32258064
1,1,1,1,MOVE,192,46.96331,45.91136,0.32941177,0.32258064
1,1,1,1,MOVE,209,46.96331,44.912613,0.3372549,0.32258064
1,1,1,1,MOVE,225,46.96331,43.66738,0.34901962,0.3548387
1,1,1,1,MOVE,242,46.96331,43.913857,0.3529412,0.3548387
1,1,1,1,MOVE,259,46.96331,42.574997,0.36078432,0.3548387
1,1,1,1,MOVE,275,46.96331,42.915108,0.3647059,0.3548387
1,1,1,1,MOVE,292,46.96331,41.484222,0.36862746,0.3548387
1,1,1,1,MOVE,308,46.96331,41.91636,0.37647063,0.38709676
1,1,1,1,MOVE,325,46.96331,41.91636,0.37647063,0.38709676
1,1,1,1,MOVE,341,46.96331,41.91636,0.37647063,0.38709676
1,1,1,1,MOVE,358,46.96331,41.91636,0.37647063,0.38709676
1,1,1,1,MOVE,375,46.96331,41.91636,0.37647063,0.38709676
1,1,1,1,MOVE,391,46.156307,41.109726,0.37254903,0.3548387
1,1,1,1,MOVE,393,45.964092,40.917603,0.34901962,0.3548387
1,1,1,1,UP,404,45.964092,40.917603,0.34901962,0.3548387
2,1,1,2,DOWN,0,1233.0367,39.918854,0.039215688,0.32258064
2,1,1,2,MOVE,17,1233.0367,39.918854,0.06666667,0.54838705
2,1,1,2,MOVE,34,1233.0367,39.918854,0.121568635,1.0
2,1,1,2,MOVE,50,1233.0367,38.9201,0.14509805,0.12903225
2,1,1,2,MOVE,67,1233.0367,38.9201,0.18431373,0.16129032
2,1,1,2,MOVE,83,1233.0367,37.92135,0.20392159,0.19354838
2,1,1,2,MOVE,100,1233.0367,37.92135,0.23529413,0.22580644
2,1,1,2,MOVE,117,1233.0367,37.92135,0.2509804,0.2580645
2,1,1,2,MOVE,133,1233.0367,37.92135,0.27450982,0.2580645
2,1,1,2,MOVE,150,1233.0367,37.92135,0.29411766,0.29032257
2,1,1,2,MOVE,166,1233.0367,37.92135,0.3019608,0.29032257
2,1,1,2,MOVE,183,1233.0367,37.92135,0.31764707,0.32258064
2,1,1,2,MOVE,199,1233.0367,37.92135,0.32156864,0.32258064
2,1,1,2,MOVE,216,1233.0367,37.92135,0.33333334,0.32258064
2,1,1,2,MOVE,232,1233.0367,37.92135,0.3372549,0.32258064
2,1,1,2,MOVE,249,1233.0367,37.92135,0.34509805,0.3548387
2,1,1,2,MOVE,266,1233.0367,37.92135,0.34901962,0.3548387
2,1,1,2,MOVE,282,1233.0367,37.92135,0.35686275,0.3548387
2,1,1,2,MOVE,299,1233.0367,37.92135,0.3647059,0.3548387
2,1,1,2,MOVE,315,1233.0367,37.92135,0.3647059,0.3548387
2,1,1,2,MOVE,332,1233.0367,37.92135,0.3647059,0.3548387
2,1,1,2,MOVE,348,1233.0367,37.92135,0.3647059,0.3548387
2,1,1,2,MOVE,365,1233.0367,37.92135,0.36862746,0.3548387
2,1,1,2,MOVE,382,1233.0367,37.92135,0.36862746,0.3548387
2,1,1,2,MOVE,398,1233.0367,37.92135,0.37254903,0.3548387
2,1,1,2,MOVE,415,1233.0367,36.960728,0.37254903,0.3548387
2,1,1,2,MOVE,426,1232.0375,36.9226,0.3372549,0.32258064
2,1,1,2,UP,436,1232.0375,36.9226,0.3372549,0.32258064
3,1,1,3,DOWN,0,51.959408,666.1361,0.03137255,0.2580645
3,1,1,3,MOVE,19,51.959408,666.1361,0.058823533,0.48387095
3,1,1,3,MOVE,36,51.959408,666.1361,0.1137255,0.9354838
3,1,1,3,MOVE,52,51.959408,666.1361,0.13725491,0.12903225
3,1,1,3,MOVE,69,51.959408,666.1361,0.18039216,0.16129032
3,1,1,3,MOVE,85,51.959408,666.1361,0.21568629,0.19354838
3,1,1,3,MOVE,102,51.959408,666.1361,0.23137257,0.22580644
3,1,1,3,MOVE,118,51.959408,666.1361,0.25882354,0.2580645
3,1,1,3,MOVE,135,51.959408,666.1361,0.27058825,0.2580645
3,1,1,3,MOVE,151,51.959408,666.1361,0.2901961,0.29032257
3,1,1,3,MOVE,168,51.959408,666.1361,0.29803923,0.29032257
3,1,1,3,MOVE,184,51.959408,666.1361,0.3137255,0.32258064
3,1,1,3,MOVE,201,51.959408,666.1361,0.31764707,0.32258064
3,1,1,3,MOVE,218,51.959408,666.1361,0.3254902,0.32258064
3,1,1,3,MOVE,234,51.959408,665.0888,0.33333334,0.32258064
3,1,1,3,MOVE,251,51.959408,665.1373,0.3372549,0.32258064
3,1,1,3,MOVE,267,51.959408,665.1373,0.34509805,0.3548387
3,1,1,3,MOVE,284,51.959408,665.1373,0.34901962,0.3548387
3,1,1,3,MOVE,300,51.959408,665.1373,0.3529412,0.3548387
