ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,70.94457,26.935081,0.023529414,0.19354838
1,1,1,1,MOVE,14,69.63716,25.62827,0.03529412,0.29032257
1,1,1,1,MOVE,31,69.94536,25.078732,0.04705883,0.38709676
1,1,1,1,MOVE,47,69.94536,24.93758,0.06666667,0.54838705
1,1,1,1,MOVE,63,69.94536,24.93758,0.07450981,0.61290324
1,1,1,1,MOVE,80,69.94536,24.93758,0.09019608,0.7419355
1,1,1,1,MOVE,97,69.94536,28.008808,0.098039225,0.80645156
1,1,1,1,MOVE,107,69.94536,30.930088,0.098039225,0.80645156
1,1,1,1,UP,118,69.94536,30.930088,0.098039225,0.80645156
2,1,1,2,DOWN,0,1237.0336,54.900124,0.027450982,0.22580644
2,1,1,2,MOVE,20,1236.0343,53.901375,0.039215688,0.32258064
2,1,1,2,MOVE,37,1234.5577,52.42534,0.0627451,0.516129
2,1,1,2,MOVE,53,1234.0359,52.902626,0.078431375,0.6451613
2,1,1,2,MOVE,71,1232.394,52.902626,0.08627451,0.7096774
2,1,1,2,MOVE,87,1232.0375,52.902626,0.098039225,0.80645156
2,1,1,2,MOVE,104,1232.0375,52.902626,0.10196079,0.83870965
2,1,1,2,MOVE,120,1232.0375,52.902626,0.10980393,0.9032258
2,1,1,2,MOVE,137,1232.0375,52.902626,0.1137255,0.9354838
2,1,1,2,MOVE,153,1232.0375,52.902626,0.1137255,0.9354838
2,1,1,2,MOVE,160,1232.0375,52.902626,0.10980393,0.9032258
2,1,1,2,UP,171,1232.0375,52.902626,0.10980393,0.9032258
3,1,1,3,DOWN,0,46.96331,645.1623,0.027450982,0.22580644
3,1,1,3,MOVE,11,45.935696,644.1352,0.043137256,0.3548387
3,1,1,3,MOVE,27,45.964092,644.1636,0.054901965,0.4516129
3,1,1,3,MOVE,44,45.964092,644.1636,0.078431375,0.6451613
3,1,1,3,MOVE,62,45.964092,644.1636,0.08627451,0.7096774
3,1,1,3,MOVE,78,45.964092,644.1636,0.098039225,0.80645156
3,1,1,3,MOVE,95,45.964092,644.1636,0.10196079,0.83870965
3,1,1,3,MOVE,111,45.964092,644.1636,0.10980393,0.9032258
3,1,1,3,MOVE,128,45.964092,644.1636,0.1137255,0.9354838
3,1,1,3,MOVE,144,45.964092,644.1636,0.1137255,0.9354838
3,1,1,3,MOVE,161,45.964092,644.1636,0.10980393,0.9032258
3,1,1,3,MOVE,171,45.964092,644.1636,0.10196079,0.83870965
3,1,1,3,UP,181,45.964092,644.1636,0.10196079,0.83870965
4,1,1,4,DOWN,0,1244.0281,674.1261,0.023529414,0.19354838
4,1,1,4,MOVE,19,1243.0289,674.1261,0.03529412,0.29032257
4,1,1,4,MOVE,36,1241.6718,674.1261,0.054901965,0.4516129
4,1,1,4,MOVE,52,1241.0304,673.1274,0.0627451,0.516129
4,1,1,4,MOVE,69,1239.5735,671.671,0.078431375,0.6451613
4,1,1,4,MOVE,86,1240.0313,671.1298,0.08627451,0.7096774
4,1,1,4,MOVE,102,1240.0313,669.5638,0.09019608,0.7419355
4,1,1,4,MOVE,119,1240.0313,669.1323,0.098039225,0.80645156
4,1,1,4,MOVE,135,1240.0313,667.4647,0.10196079,0.83870965
4,1,1,4,MOVE,152,1240.0313,667.1348,0.10196079,0.83870965
4,1,1,4,MOVE,168,1240.0313,665.36615,0.10196079,0.83870965
4,1,1,4,MOVE,171,1240.0313,665.1373,0.098039225,0.80645156
4,1,1,4,UP,182,1240.0313,665.1373,0.098039225,0.80645156
5,1,1,5,DOWN,0,619.516,45.91136,0.019607844,0.16129032
5,1,1,5,MOVE,14,618.14923,44.545258,0.027450982,0.22580644
5,1,1,5,MOVE,30,617.6006,43.996857,0.03529412,0.29032257
5,1,1,5,MOVE,47,616.5184,42.915108,0.050980397,0.41935483
5,1,1,5,MOVE,64,615.501,41.898224,0.0627451,0.516129
5,1,1,5,MOVE,80,614.5199,40.917603,0.06666667,0.54838705
5,1,1,5,MOVE,97,613.3935,40.917603,0.07450981,0.61290324
5,1,1,5,MOVE,113,612.5215,40.917603,0.07450981,0.61290324
5,1,1,5,MOVE,130,612.5215,40.917603,0.07058824,0.58064514
5,1,1,5,UP,138,612.5215,40.917603,0.07058824,0.58064514
6,1,1,6,DOWN,0,614.5199,676.1236,0.023529414,0.19354838
6,1,1,6,MOVE,24,614.5199,675.1249,0.04705883,0.38709676
6,1,1,6,MOVE,41,614.5199,673.31323,0.058823533,0.48387095
6,1,1,6,MOVE,58,614.5199,673.1274,0.07450981,0.61290324
6,1,1,6,MOVE,74,614.5199,673.1274,0.08235294,0.6774193
6,1,1,6,MOVE,91,614.5199,673.1274,0.09019608,0.7419355
6,1,1,6,MOVE,107,613.48517,673.1274,0.098039225,0.80645156
6,1,1,6,MOVE,124,613.5207,673.1274,0.10196079,0.83870965
6,1,1,6,MOVE,140,613.5207,673.1274,0.10588236,0.87096775
6,1,1,6,MOVE,157,613.5207,673.1274,0.10980393,0.9032258
6,1,1,6,MOVE,173,613.5207,673.1274,0.10980393,0.9032258
6,1,1,6,MOVE,190,613.5207,673.1274,0.10980393,0.9032258
6,1,1,6,MOVE,207,613.5207,673.1274,0.098039225,0.80645156
6,1,1,6,UP,214,613.5207,673.1274,0.098039225,0.80645156
7,1,1,7,DOWN,0,52.958626,355.52435,0.023529414,0.19354838
7,1,1,7,MOVE,22,51.959408,354.37967,0.043137256,0.3548387
7,1,1,7,MOVE,39,50.26117,353.8269,0.050980397,0.41935483
7,1,1,7,MOVE,54,49.960968,352.38965,0.06666667,0.54838705
7,1,1,7,MOVE,71,48.267742,351.8344,0.07450981,0.61290324
7,1,1,7,MOVE,87,47.96253,350.2899,0.08627451,0.7096774
7,1,1,7,MOVE,104,47.96253,350.5306,0.09019608,0.7419355
7,1,1,7,MOVE,121,47.96253,350.5306,0.09019608,0.7419355
7,1,1,7,MOVE,128,47.96253,350.5306,0.08627451,0.7096774
7,1,1,7,UP,138,47.96253,350.5306,0.08627451,0.7096774
8,1,1,8,DOWN,0,1239.032,355.52435,0.023529414,0.19354838
8,1,1,8,MOVE,26,1238.0328,355.52435,0.04705883,0.38709676
8,1,1,8,MOVE,43,1235.9891,355.52435,0.06666667,0.54838705
8,1,1,8,MOVE,63,1235.0925,355.52435,0.07450981,0.61290324
8,1,1,8,MOVE,80,1235.0352,355.52435,0.08627451,0.7096774
8,1,1,8,MOVE,96,1235.0352,355.52435,0.09411766,0.7741935
8,1,1,8,MOVE,113,1235.0352,355.52435,0.09411766,0.7741935
8,1,1,8,MOVE,129,1235.0352,355.52435,0.09411766,0.7741935
8,1,1,8,MOVE,146,1235.0352,355.52435,0.09411766,0.7741935
8,1,1,8,MOVE,162,1235.0352,355.52435,0.09411766,0.7741935
8,1,1,8,MOVE,179,1235.0352,355.52435,0.09411766,0.7741935
