ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,42.96643,89.85643,0.043137256,0.3548387
1,1,1,1,MOVE,11,42.96643,89.85643,0.07450981,0.61290324
1,1,1,1,MOVE,28,42.96643,89.21768,0.10196079,0.83870965
1,1,1,1,MOVE,44,42.96643,88.85768,0.14509805,0.12903225
1,1,1,1,MOVE,61,42.96643,88.85768,0.16078432,0.16129032
1,1,1,1,MOVE,77,42.96643,88.85768,0.19607845,0.19354838
1,1,1,1,MOVE,94,42.96643,88.85768,0.21568629,0.19354838
1,1,1,1,MOVE,110,42.96643,88.85768,0.2509804,0.2580645
1,1,1,1,MOVE,127,42.96643,88.85768,0.26666668,0.2580645
1,1,1,1,MOVE,143,42.96643,88.85768,0.2901961,0.29032257
1,1,1,1,MOVE,160,43.97329,90.86282,0.3137255,0.32258064
1,1,1,1,MOVE,177,43.965652,91.853935,0.32156864,0.32258064
1,1,1,1,MOVE,193,43.965652,91.853935,0.3372549,0.32258064
1,1,1,1,MOVE,210,43.965652,91.853935,0.34509805,0.3548387
1,1,1,1,MOVE,226,43.965652,91.853935,0.35686275,0.3548387
1,1,1,1,MOVE,243,43.965652,91.853935,0.36078432,0.3548387
1,1,1,1,MOVE,259,43.965652,91.853935,0.3647059,0.3548387
1,1,1,1,MOVE,276,43.965652,91.853935,0.36078432,0.3548387
1,1,1,1,MOVE,278,43.965652,91.853935,0.34901962,0.3548387
1,1,1,1,UP,288,43.965652,91.853935,0.34901962,0.3548387
2,1,1,2,DOWN,0,1189.071,87.858925,0.03137255,0.2580645
2,1,1,2,MOVE,19,1188.309,87.09721,0.050980397,0.41935483
2,1,1,2,MOVE,35,1188.0718,86.860176,0.09019608,0.7419355
2,1,1,2,MOVE,52,1188.0718,84.99973,0.10980393,0.9032258
2,1,1,2,MOVE,68,1188.0718,84.86267,0.14117648,0.12903225
2,1,1,2,MOVE,84,1188.0718,82.97204,0.15686275,0.16129032
2,1,1,2,MOVE,101,1188.0718,82.86517,0.20000002,0.19354838
2,1,1,2,MOVE,117,1188.0718,80.87048,0.227451,0.22580644
2,1,1,2,MOVE,134,1188.0718,80.33239,0.28627452,0.29032257
2,1,1,2,MOVE,151,1188.0718,78.78765,0.34117648,0.32258064
2,1,1,2,MOVE,167,1188.0718,78.87016,0.3647059,0.3548387
2,1,1,2,MOVE,184,1188.0718,77.68183,0.40000004,0.38709676
2,1,1,2,MOVE,200,1188.0718,77.871414,0.41176474,0.41935483
2,1,1,2,MOVE,217,1188.0718,77.871414,0.43137258,0.41935483
2,1,1,2,MOVE,233,1188.0718,77.871414,0.4431373,0.4516129
2,1,1,2,MOVE,250,1188.0718,77.871414,0.4666667,0.4516129
2,1,1,2,MOVE,267,1188.0718,77.871414,0.47450984,0.48387095
2,1,1,2,MOVE,283,1188.0718,77.871414,0.4901961,0.48387095
2,1,1,2,MOVE,300,1188.0718,77.871414,0.5019608,0.516129
2,1,1,2,MOVE,316,1188.0718,77.871414,0.50980395,0.516129
2,1,1,2,MOVE,333,1188.0718,77.871414,0.5254902,0.516129
2,1,1,2,MOVE,349,1188.0718,77.871414,0.53333336,0.54838705
2,1,1,2,MOVE,366,1188.0718,77.871414,0.5411765,0.54838705
2,1,1,2,MOVE,382,1188.0718,77.871414,0.54509807,0.54838705
2,1,1,2,MOVE,399,1188.0718,77.871414,0.5529412,0.54838705
2,1,1,2,MOVE,416,1188.0718,77.871414,0.5568628,0.54838705
2,1,1,2,MOVE,432,1188.0718,77.871414,0.56078434,0.54838705
2,1,1,2,MOVE,449,1188.0718,77.871414,0.56078434,0.54838705
2,1,1,2,MOVE,465,1188.0718,77.871414,0.5411765,0.54838705
2,1,1,2,MOVE,482,1188.0718,77.871414,0.47058827,0.48387095
2,1,1,2,UP,492,1188.0718,77.871414,0.47058827,0.48387095
3,1,1,3,DOWN,0,44.96487,657.14734,0.027450982,0.22580644
3,1,1,3,MOVE,13,43.671604,657.14734,0.043137256,0.3548387
3,1,1,3,MOVE,30,43.13967,656.14856,0.058823533,0.48387095
3,1,1,3,MOVE,46,41.595,654.77783,0.08627451,0.7096774
3,1,1,3,MOVE,63,41.055317,654.15106,0.098039225,0.80645156
3,1,1,3,MOVE,86,39.968773,653.15234,0.12941177,0.12903225
3,1,1,3,MOVE,103,38.288227,653.15234,0.14117648,0.12903225
3,1,1,3,MOVE,120,37.970337,653.15234,0.16470589,0.16129032
3,1,1,3,MOVE,136,36.19095,653.15234,0.1764706,0.16129032
3,1,1,3,MOVE,153,35.971897,653.15234,0.20000002,0.19354838
