ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,646.49493,208.70787,0.039215688,0.32258064
1,1,1,1,MOVE,14,646.49493,208.70787,0.07058824,0.58064514
1,1,1,1,MOVE,30,645.4957,208.70787,0.10196079,0.83870965
1,1,1,1,MOVE,47,644.1145,208.70787,0.16470589,0.16129032
1,1,1,1,MOVE,63,643.49725,208.70787,0.19215688,0.19354838
1,1,1,1,MOVE,80,642.04736,208.70787,0.24313727,0.22580644
1,1,1,1,MOVE,96,641.49884,208.70787,0.2901961,0.29032257
1,1,1,1,MOVE,113,639.9413,208.70787,0.3137255,0.32258064
1,1,1,1,MOVE,129,639.50037,208.70787,0.3529412,0.3548387
1,1,1,1,MOVE,146,638.50116,208.70787,0.36862746,0.3548387
1,1,1,1,MOVE,162,638.50116,208.70787,0.39607847,0.38709676
1,1,1,1,MOVE,179,638.50116,208.70787,0.40784317,0.41935483
1,1,1,1,MOVE,196,638.50116,208.70787,0.43137258,0.41935483
1,1,1,1,MOVE,212,638.50116,208.70787,0.4431373,0.4516129
1,1,1,1,MOVE,229,638.50116,208.70787,0.45882356,0.4516129
1,1,1,1,MOVE,245,638.50116,208.70787,0.47058827,0.48387095
1,1,1,1,MOVE,262,638.50116,208.70787,0.49411768,0.48387095
1,1,1,1,MOVE,278,638.50116,208.70787,0.5137255,0.516129
1,1,1,1,MOVE,295,638.50116,208.70787,0.52156866,0.516129
1,1,1,1,MOVE,311,638.50116,208.70787,0.53333336,0.54838705
1,1,1,1,MOVE,328,638.50116,208.70787,0.5372549,0.54838705
1,1,1,1,MOVE,345,638.50116,208.70787,0.54509807,0.54838705
1,1,1,1,MOVE,361,638.50116,208.70787,0.54901963,0.54838705
1,1,1,1,MOVE,378,638.50116,208.70787,0.5568628,0.54838705
1,1,1,1,MOVE,394,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,411,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,427,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,444,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,461,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,470,638.50116,208.70787,0.56078434,0.54838705
1,1,1,1,MOVE,494,637.2371,209.97134,0.56078434,0.54838705
1,1,1,1,MOVE,519,637.50195,212.36713,0.56078434,0.54838705
1,1,1,1,MOVE,543,636.16754,214.3718,0.56078434,0.54838705
1,1,1,1,MOVE,560,636.50275,213.70163,0.5176471,0.516129
1,1,1,1,MOVE,591,635.16644,215.0373,0.5137255,0.516129
1,1,1,1,MOVE,610,635.50354,215.82315,0.5058824,0.516129
1,1,1,1,MOVE,638,635.50354,217.03488,0.49411768,0.48387095
1,1,1,1,MOVE,659,635.50354,216.69788,0.48235297,0.48387095
1,1,1,1,MOVE,686,635.50354,216.69788,0.47058827,0.48387095
1,1,1,1,MOVE,709,635.50354,218.02539,0.45882356,0.4516129
1,1,1,1,MOVE,725,635.50354,217.69664,0.45098042,0.4516129
1,1,1,1,MOVE,757,635.50354,217.69664,0.4431373,0.4516129
1,1,1,1,MOVE,775,635.50354,218.80743,0.43921572,0.4516129
1,1,1,1,MOVE,804,635.50354,218.69539,0.43529415,0.41935483
1,1,1,1,MOVE,825,635.50354,218.69539,0.43137258,0.41935483
1,1,1,1,MOVE,851,635.50354,220.03159,0.43137258,0.41935483
1,1,1,1,MOVE,875,635.50354,219.69414,0.427451,0.41935483
1,1,1,1,MOVE,891,635.50354,219.69414,0.427451,0.41935483
1,1,1,1,MOVE,922,635.50354,221.03148,0.427451,0.41935483
1,1,1,1,MOVE,941,635.50354,220.69289,0.427451,0.41935483
1,1,1,1,MOVE,970,635.50354,220.69289,0.427451,0.41935483
1,1,1,1,MOVE,990,635.50354,221.9125,0.427451,0.41935483
1,1,1,1,MOVE,1017,635.50354,221.69164,0.427451,0.41935483
1,1,1,1,MOVE,1040,635.50354,221.69164,0.427451,0.41935483
1,1,1,1,MOVE,1057,635.50354,221.69164,0.427451,0.41935483
1,1,1,1,MOVE,1088,635.50354,221.69164,0.427451,0.41935483
1,1,1,1,MOVE,1106,635.50354,221.69164,0.43137258,0.41935483
1,1,1,1,MOVE,1135,635.50354,221.69164,0.43529415,0.41935483
1,1,1,1,MOVE,1156,635.50354,221.69164,0.43921572,0.4516129
1,1,1,1,MOVE,1183,635.50354,221.69164,0.4431373,0.4516129
1,1,1,1,MOVE,1206,635.50354,221.69164,0.44705886,0.4516129
1,1,1,1,MOVE,1222,635.50354,221.69164,0.45098042,0.4516129
1,1,1,1,MOVE,1254,635.50354,221.69164,0.454902,0.4516129
1,1,1,1,MOVE,1272,635.50354,221.69164,0.45882356,0.4516129
1,1,1,1,MOVE,1301,635.50354,221.69164,0.46274513,0.4516129
1,1,1,1,MOVE,1322,635.50354,221.69164,0.46274513,0.4516129
1,1,1,1,MOVE,1349,635.50354,221.69164,0.46274513,0.4516129
1,1,1,1,MOVE,1371,635.50354,221.69164,0.45882356,0.4516129
1,1,1,1,MOVE,1388,635.50354,221.69164,0.454902,0.4516129
1,1,1,1,MOVE,1420,635.50354,221.69164,0.4431373,0.4516129
1,1,1,1,MOVE,1438,635.50354,221.69164,0.43137258,0.41935483
1,1,1,1,MOVE,1467,635.50354,221.69164,0.4039216,0.38709676
1,1,1,1,UP,1484,635.50354,221.69164,0.4039216,0.38709676
1,2,1,1,DOWN,0,619.516,230.6804,0.039215688,0.32258064
1,2,1,1,MOVE,23,619.516,230.6804,0.10980393,0.9032258
1,2,1,1,MOVE,39,619.516,230.6804,0.14117648,0.12903225
1,2,1,1,MOVE,56,619.516,229.40373,0.20000002,0.19354838
1,2,1,1,MOVE,73,619.516,229.68166,0.227451,0.22580644
1,2,1,1,MOVE,89,619.516,229.68166,0.2784314,0.2580645
1,2,1,1,MOVE,106,619.516,229.68166,0.3019608,0.29032257
1,2,1,1,MOVE,122,619.516,228.6829,0.34509805,0.3548387
1,2,1,1,MOVE,139,619.516,227.64136,0.3803922,0.38709676
1,2,1,1,MOVE,156,619.516,226.6854,0.3921569,0.38709676
1,2,1,1,MOVE,172,619.516,225.50845,0.40784317,0.41935483
1,2,1,1,MOVE,189,619.516,224.6879,0.4156863,0.41935483
1,2,1,1,MOVE,205,619.516,223.43114,0.43529415,0.41935483
1,2,1,1,MOVE,222,619.516,222.6904,0.4431373,0.4516129
1,2,1,1,MOVE,238,619.516,221.32417,0.45882356,0.4516129
1,2,1,1,MOVE,255,619.516,220.69289,0.4666667,0.4516129
1,2,1,1,MOVE,271,619.516,219.2122,0.47450984,0.48387095
1,2,1,1,MOVE,288,620.54614,218.69539,0.48235297,0.48387095
1,2,1,1,MOVE,305,620.5152,217.10762,0.4901961,0.48387095
1,2,1,1,MOVE,321,620.5152,216.69788,0.5058824,0.516129
1,2,1,1,MOVE,338,621.51447,215.0032,0.5137255,0.516129
1,2,1,1,MOVE,354,621.51447,214.70038,0.5294118,0.516129
1,2,1,1,MOVE,371,621.51447,213.70163,0.53333336,0.54838705
1,2,1,1,MOVE,387,621.51447,213.70163,0.5411765,0.54838705
1,2,1,1,MOVE,404,622.42596,213.70163,0.54509807,0.54838705
1,2,1,1,MOVE,421,622.5137,213.70163,0.5529412,0.54838705
1,2,1,1,MOVE,437,623.53314,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,454,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,470,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,487,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,503,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,520,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,536,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,569,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,586,623.5129,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,617,624.8472,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,636,625.64276,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,664,628.1798,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,685,627.50977,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,702,629.12915,213.70163,0.56078434,0.54838705
1,2,1,1,MOVE,719,630.3208,214.51387,0.56078434,0.54838705
1,2,1,1,MOVE,735,630.5074,214.70038,0.56078434,0.54838705
1,2,1,1,MOVE,752,631.42914,216.54292,0.56078434,0.54838705
1,2,1,1,MOVE,761,632.0063,217.69662,0.56078434,0.54838705
1,2,1,1,MOVE,785,631.50665,216.69788,0.56078434,0.54838705
1,2,1,1,MOVE,802,631.50665,216.69788,0.5294118,0.516129
2,0,1,1,MOVE,833,631.50665,216.69788,0.53333336,0.54838705
2,0,1,1,MOVE,851,631.50665,216.69788,0.53333336,0.54838705
2,0,1,1,MOVE,881,631.50665,216.69788,0.52156866,0.516129
2,0,1,1,MOVE,901,631.50665,216.69788,0.50980395,0.516129
2,0,1,1,MOVE,928,631.50665,216.69788,0.49411768,0.48387095
2,0,1,1,MOVE,951,631.50665,216.69788,0.4784314,0.48387095
2,0,1,1,MOVE,975,631.50665,218.03381,0.4666667,0.4516129
2,0,1,1,MOVE,999,631.50665,217.69664,0.454902,0.4516129
2,0,1,1,MOVE,1017,631.50665,217.69664,0.44705886,0.4516129
2,0,1,1,MOVE,1046,631.50665,219.03465,0.43921572,0.4516129
2,0,1,1,MOVE,1066,631.50665,218.69539,0.43529415,0.41935483
2,0,1,1,MOVE,1094,631.50665,218.69539,0.427451,0.41935483
2,0,1,1,MOVE,1116,631.50665,218.69539,0.42352945,0.41935483
2,0,1,1,MOVE,1141,631.50665,218.69539,0.41960788,0.41935483
2,0,1,1,MOVE,1165,631.50665,218.69539,0.4156863,0.41935483
2,0,1,1,MOVE,1182,631.50665,218.69539,0.41176474,0.41935483
2,0,1,1,MOVE,1212,631.50665,220.03215,0.40784317,0.41935483
2,0,1,1,MOVE,1232,631.50665,219.69414,0.40784317,0.41935483
2,0,1,1,MOVE,1259,631.50665,219.69414,0.40784317,0.41935483
2,0,1,1,MOVE,1282,631.50665,220.9807,0.40784317,0.41935483
2,0,1,1,MOVE,1307,631.50665,220.69289,0.40784317,0.41935483
2,0,1,1,MOVE,1330,631.50665,220.69289,0.40784317,0.41935483
2,0,1,1,MOVE,1348,631.50665,220.69289,0.4039216,0.38709676
2,0,1,1,MOVE,1378,631.50665,220.69289,0.4039216,0.38709676
2,0,1,1,MOVE,1398,631.50665,220.69289,0.4039216,0.38709676
2,0,1,1,MOVE,1425,631.50665,220.69289,0.40000004,0.38709676
2,0,1,1,MOVE,1447,631.50665,220.69289,0.39607847,0.38709676
2,0,1,1,MOVE,1472,631.50665,220.69289,0.38823533,0.38709676
2,0,1,1,MOVE,1496,631.50665,220.69289,0.37647063,0.38709676
2,0,1,1,MOVE,1514,631.50665,220.69289,0.3529412,0.3548387
2,0,1,1,UP,1537,631.50665,220.69289,0.3529412,0.3548387
2,1,1,1,DOWN,0,639.50037,533.3021,0.054901965,0.4516129
2,1,1,1,MOVE,19,638.50116,533.3021,0.10196079,0.83870965
2,1,1,1,MOVE,36,637.1399,533.3021,0.19215688,0.19354838
2,1,1,1,MOVE,52,636.50275,533.3021,0.23137257,0.22580644
2,1,1,1,MOVE,69,635.02014,533.3021,0.29803923,0.29032257
2,1,1,1,MOVE,86,634.5043,533.3021,0.3529412,0.3548387
2,1,1,1,MOVE,102,634.5043,533.3021,0.37647063,0.38709676
2,1,1,1,MOVE,119,634.5043,533.3021,0.42352945,0.41935483
2,1,1,1,MOVE,135,634.5043,533.3021,0.4431373,0.4516129
2,1,1,1,MOVE,152,634.5043,533.3021,0.47450984,0.48387095
2,1,1,1,MOVE,168,634.5043,532.3034,0.48627454,0.48387095
2,1,1,1,MOVE,185,634.5043,530.97095,0.5058824,0.516129
2,1,1,1,MOVE,202,634.5043,530.3059,0.5137255,0.516129
2,1,1,1,MOVE,218,634.5043,528.8624,0.5294118,0.516129
2,1,1,1,MOVE,235,634.5043,528.30835,0.53333336,0.54838705
2,1,1,1,MOVE,251,634.5043,526.74457,0.5411765,0.54838705
2,1,1,1,MOVE,268,634.5043,526.31085,0.54901963,0.54838705
2,1,1,1,MOVE,284,634.5043,524.65643,0.5529412,0.54838705
2,1,1,1,MOVE,301,634.5043,524.31335,0.5568628,0.54838705
2,1,1,1,MOVE,309,634.5043,524.31335,0.56078434,0.54838705
2,1,1,1,MOVE,334,634.5043,524.31335,0.56078434,0.54838705
2,1,1,1,MOVE,351,634.5043,524.31335,0.56078434,0.54838705
2,1,1,1,MOVE,382,633.16785,524.31335,0.56078434,0.54838705
2,1,1,1,MOVE,400,633.50507,525.3967,0.56078434,0.54838705
2,1,1,1,MOVE,430,632.17114,526.6454,0.5568628,0.54838705
2,1,1,1,MOVE,450,631.3317,527.4845,0.5568628,0.54838705
2,1,1,1,MOVE,478,631.50665,527.30963,0.5568628,0.54838705
2,1,1,1,MOVE,500,630.25555,527.30963,0.56078434,0.54838705
2,1,1,1,MOVE,525,629.1719,528.6445,0.56078434,0.54838705
2,1,1,1,MOVE,549,629.5082,528.30835,0.56078434,0.54838705
2,1,1,1,MOVE,566,629.5082,528.30835,0.56078434,0.54838705
2,1,1,1,MOVE,597,628.17285,529.64307,0.56078434,0.54838705
2,1,1,1,MOVE,616,628.509,529.3071,0.56078434,0.54838705
2,1,1,1,MOVE,645,628.509,529.3071,0.56078434,0.54838705
2,1,1,1,MOVE,665,628.509,530.47986,0.56078434,0.54838705
2,1,1,1,MOVE,693,628.509,530.3059,0.56078434,0.54838705
2,1,1,1,MOVE,715,628.509,530.3059,0.56078434,0.54838705
2,1,1,1,MOVE,741,628.509,531.6386,0.56078434,0.54838705
2,1,1,1,MOVE,765,628.509,531.3046,0.56078434,0.54838705
2,1,1,1,MOVE,781,627.49036,531.3046,0.56078434,0.54838705
2,1,1,1,MOVE,813,627.50977,532.6369,0.56078434,0.54838705
2,1,1,1,MOVE,831,627.50977,532.3034,0.56078434,0.54838705
2,1,1,1,MOVE,861,627.50977,532.3034,0.56078434,0.54838705
2,1,1,1,MOVE,881,626.3395,533.4731,0.56078434,0.54838705
2,1,1,1,MOVE,908,626.51056,533.3021,0.56078434,0.54838705
2,1,1,1,MOVE,930,626.51056,533.3021,0.56078434,0.54838705
2,1,1,1,MOVE,956,626.51056,534.6342,0.56078434,0.54838705
2,1,1,1,MOVE,980,626.51056,534.3009,0.56078434,0.54838705
2,1,1,1,MOVE,996,626.51056,534.3009,0.56078434,0.54838705
2,1,1,1,MOVE,1028,626.51056,535.6336,0.56078434,0.54838705
2,1,1,1,MOVE,1046,626.51056,535.2996,0.56078434,0.54838705
2,1,1,1,MOVE,1076,626.51056,535.2996,0.56078434,0.54838705
2,1,1,1,MOVE,1096,626.51056,536.4666,0.56078434,0.54838705
2,1,1,1,MOVE,1124,626.51056,536.2984,0.56078434,0.54838705
2,1,1,1,MOVE,1146,626.51056,536.2984,0.56078434,0.54838705
2,1,1,1,MOVE,1172,626.51056,537.63226,0.56078434,0.54838705
2,1,1,1,MOVE,1195,626.51056,537.2971,0.56078434,0.54838705
2,1,1,1,MOVE,1212,626.51056,537.2971,0.56078434,0.54838705
2,1,1,1,MOVE,1243,626.51056,538.6339,0.56078434,0.54838705
2,1,1,1,MOVE,1262,626.51056,538.2959,0.56078434,0.54838705
2,1,1,1,MOVE,1291,626.51056,538.2959,0.56078434,0.54838705
2,1,1,1,MOVE,1311,626.51056,538.2959,0.56078434,0.54838705
2,1,1,1,MOVE,1339,626.51056,538.2959,0.56078434,0.54838705
2,1,1,1,MOVE,1361,626.51056,538.2959,0.56078434,0.54838705
2,1,1,1,MOVE,1387,626.51056,539.6279,0.56078434,0.54838705
2,1,1,1,MOVE,1411,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1427,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1459,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1477,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1506,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1526,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1554,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1576,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1602,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1625,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1643,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1673,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1692,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1721,626.51056,539.2946,0.56078434,0.54838705
2,1,1,1,MOVE,1742,626.51056,538.093,0.53333336,0.54838705
2,1,1,1,MOVE,1769,626.51056,538.2959,0.5372549,0.54838705
2,1,1,1,MOVE,1792,626.51056,538.2959,0.5372549,0.54838705
2,1,1,1,MOVE,1808,626.51056,538.2959,0.5294118,0.516129
2,1,1,1,MOVE,1840,626.51056,538.2959,0.52156866,0.516129
2,1,1,1,MOVE,1858,626.51056,538.2959,0.5137255,0.516129
2,1,1,1,MOVE,1887,626.51056,538.2959,0.50980395,0.516129
2,1,1,1,MOVE,1908,626.51056,538.2959,0.5019608,0.516129
2,1,1,1,MOVE,1934,626.51056,538.2959,0.49411768,0.48387095
2,1,1,1,MOVE,1957,626.51056,538.2959,0.4901961,0.48387095
2,1,1,1,MOVE,1974,626.51056,538.2959,0.48627454,0.48387095
2,1,1,1,MOVE,2005,626.51056,538.2959,0.48235297,0.48387095
2,1,1,1,MOVE,2023,626.51056,538.2959,0.4784314,0.48387095
2,1,1,1,MOVE,2053,626.51056,538.2959,0.47450984,0.48387095
2,1,1,1,MOVE,2073,626.51056,538.2959,0.47058827,0.48387095
2,1,1,1,MOVE,2100,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2123,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2139,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2171,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2189,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2218,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2239,626.51056,538.2959,0.4666667,0.4516129
2,1,1,1,MOVE,2265,626.51056,538.2959,0.46274513,0.4516129
2,1,1,1,MOVE,2288,626.51056,538.2959,0.46274513,0.4516129
2,1,1,1,MOVE,2305,626.51056,538.2959,0.45882356,0.4516129
2,1,1,1,MOVE,2336,626.51056,538.2959,0.45882356,0.4516129
2,1,1,1,MOVE,2355,626.51056,538.2959,0.454902,0.4516129
2,1,1,1,MOVE,2384,626.51056,538.2959,0.454902,0.4516129
2,1,1,1,MOVE,2404,626.51056,538.2959,0.454902,0.4516129
2,1,1,1,MOVE,2431,626.51056,538.2959,0.454902,0.4516129
2,1,1,1,MOVE,2454,626.51056,538.2959,0.45098042,0.4516129
2,1,1,1,MOVE,2471,626.51056,538.2959,0.45098042,0.4516129
2,1,1,1,MOVE,2502,626.51056,538.2959,0.45098042,0.4516129
2,1,1,1,MOVE,2520,626.51056,538.2959,0.44705886,0.4516129
2,1,1,1,MOVE,2549,626.51056,538.2959,0.4431373,0.4516129
2,1,1,1,MOVE,2570,626.51056,538.2959,0.43921572,0.4516129
2,1,1,1,MOVE,2597,626.51056,538.2959,0.43529415,0.41935483
2,1,1,1,MOVE,2620,626.51056,538.2959,0.43137258,0.41935483
2,1,1,1,MOVE,2636,626.51056,538.2959,0.427451,0.41935483
2,1,1,1,MOVE,2668,626.51056,538.2959,0.42352945,0.41935483
2,1,1,1,MOVE,2686,626.51056,538.2959,0.41960788,0.41935483
2,1,1,1,MOVE,2715,626.51056,538.2959,0.4156863,0.41935483
2,1,1,1,MOVE,2736,626.51056,538.2959,0.41176474,0.41935483
2,1,1,1,MOVE,2762,626.51056,538.2959,0.41176474,0.41935483
2,1,1,1,MOVE,2785,626.51056,538.2959,0.41176474,0.41935483
2,1,1,1,MOVE,2802,626.51056,538.2959,0.41176474,0.41935483
2,1,1,1,MOVE,2833,626.51056,538.2959,0.40784317,0.41935483
2,1,1,1,MOVE,2852,626.51056,538.2959,0.40784317,0.41935483
2,1,1,1,MOVE,2881,626.51056,538.2959,0.4039216,0.38709676
2,1,1,1,MOVE,2901,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,2928,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,2951,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,2968,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,2999,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3017,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3046,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3067,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3093,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3117,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3133,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3165,626.51056,538.2959,0.40000004,0.38709676
2,1,1,1,MOVE,3183,626.51056,538.2959,0.39607847,0.38709676
2,1,1,1,MOVE,3212,626.51056,538.2959,0.3921569,0.38709676
2,1,1,1,MOVE,3232,626.51056,538.2959,0.38823533,0.38709676
2,1,1,1,MOVE,3259,626.51056,538.2959,0.38431376,0.38709676
2,1,1,1,MOVE,3282,626.51056,538.2959,0.37647063,0.38709676
2,1,1,1,MOVE,3299,626.51056,538.2959,0.36862746,0.3548387
2,1,1,1,MOVE,3330,626.51056,538.2959,0.3529412,0.3548387
2,1,1,1,UP,3347,626.51056,538.2959,0.3529412,0.3548387
3,1,1,2,DOWN,0,159.87509,531.3046,0.039215688,0.32258064
3,1,1,2,MOVE,13,159.87509,531.3046,0.07450981,0.61290324
3,1,1,2,MOVE,30,159.87509,531.3046,0.10980393,0.9032258
3,1,1,2,MOVE,46,159.87509,531.3046,0.1764706,0.16129032
3,1,1,2,MOVE,64,159.87509,531.3046,0.20392159,0.19354838
3,1,1,2,MOVE,80,159.87509,530.78357,0.25490198,0.2580645
3,1,1,2,MOVE,97,159.87509,530.3059,0.3019608,0.29032257
3,1,1,2,MOVE,113,159.87509,528.6722,0.3254902,0.32258064
3,1,1,2,MOVE,130,159.87509,528.30835,0.36078432,0.3548387
3,1,1,2,MOVE,146,159.87509,526.5809,0.37647063,0.38709676
3,1,1,2,MOVE,163,159.87509,526.31085,0.39607847,0.38709676
3,1,1,2,MOVE,179,160.71405,524.4736,0.40000004,0.38709676
3,1,1,2,MOVE,196,162.25714,524.31335,0.40784317,0.41935483
3,1,1,2,MOVE,213,163.81796,522.3699,0.4156863,0.41935483
3,1,1,2,MOVE,229,165.36484,522.31586,0.43137258,0.41935483
3,1,1,2,MOVE,246,166.91396,521.31714,0.454902,0.4516129
3,1,1,2,MOVE,262,168.4735,521.31714,0.46274513,0.4516129
3,1,1,2,MOVE,279,170.02948,521.31714,0.4784314,0.48387095
3,1,1,2,MOVE,295,171.581,521.31714,0.48627454,0.48387095
3,1,1,2,MOVE,312,173.12222,521.31714,0.5058824,0.516129
3,1,1,2,MOVE,329,174.6835,521.31714,0.5137255,0.516129
3,1,1,2,MOVE,345,176.22514,519.956,0.5294118,0.516129
3,1,1,2,MOVE,362,176.78476,519.39667,0.53333336,0.54838705
3,1,1,2,MOVE,378,176.86183,519.31964,0.5411765,0.54838705
3,1,1,2,MOVE,395,177.86104,519.31964,0.54901963,0.54838705
3,1,1,2,MOVE,411,178.86026,519.31964,0.5529412,0.54838705
3,1,1,2,MOVE,428,178.86026,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,444,179.85948,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,461,179.85948,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,478,180.8587,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,494,180.8587,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,511,181.85793,519.31964,0.56078434,0.54838705
3,1,1,2,MOVE,527,181.85793,519.31964,0.56078434,0.54838705
