ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,662.4824,284.61298,0.023529414,0.19354838
1,1,1,1,MOVE,27,660.0101,282.14178,0.04705883,0.38709676
1,1,1,1,MOVE,43,654.3265,278.49887,0.0627451,0.516129
1,1,1,1,MOVE,59,648.5336,275.64435,0.06666667,0.54838705
1,1,1,1,MOVE,64,646.49493,274.6255,0.06666667,0.54838705
1,1,1,1,UP,75,646.49493,274.6255,0.06666667,0.54838705
1,2,1,1,DOWN,0,644.49646,203.71411,0.03529412,0.29032257
1,2,1,1,MOVE,26,644.49646,202.71536,0.09019608,0.7419355
1,2,1,1,MOVE,43,643.49725,200.70485,0.13725491,0.12903225
1,2,1,1,MOVE,59,642.9195,200.14035,0.15686275,0.16129032
1,2,1,1,MOVE,76,642.49805,199.7191,0.19607845,0.19354838
1,2,1,1,MOVE,92,641.49884,199.7191,0.21176472,0.19354838
1,2,1,1,MOVE,109,640.27606,199.7191,0.2392157,0.22580644
1,2,1,1,MOVE,126,639.50037,199.7191,0.24705884,0.22580644
1,2,1,1,MOVE,142,639.50037,199.7191,0.24705884,0.22580644
1,2,1,1,UP,149,639.50037,199.7191,0.24705884,0.22580644
2,1,1,1,DOWN,0,657.4863,543.2897,0.058823533,0.48387095
2,1,1,1,MOVE,21,657.4863,543.2897,0.14901961,0.12903225
2,1,1,1,MOVE,38,657.4863,543.2897,0.18823531,0.19354838
2,1,1,1,MOVE,54,657.4863,543.2897,0.2627451,0.2580645
2,1,1,1,MOVE,72,657.4863,543.2897,0.29411766,0.29032257
2,1,1,1,MOVE,89,657.4863,543.2897,0.34509805,0.3548387
2,1,1,1,MOVE,105,657.4863,543.2897,0.3647059,0.3548387
2,1,1,1,MOVE,106,657.4863,543.2897,0.37254903,0.3548387
2,1,1,1,UP,117,657.4863,543.2897,0.37254903,0.3548387
4,1,1,2,DOWN,0,1055.1757,521.31714,0.039215688,0.32258064
4,1,1,2,MOVE,24,1055.1757,521.31714,0.10196079,0.83870965
4,1,1,2,MOVE,41,1054.1764,521.31714,0.12941177,0.12903225
4,1,1,2,MOVE,57,1052.8086,521.31714,0.18039216,0.16129032
4,1,1,2,MOVE,80,1051.641,519.7817,0.22352943,0.22580644
4,1,1,2,MOVE,97,1050.0919,518.2332,0.25490198,0.2580645
4,1,1,2,MOVE,113,1049.5366,517.6782,0.26666668,0.2580645
4,1,1,2,MOVE,130,1047.9865,516.1288,0.28235295,0.29032257
4,1,1,2,MOVE,146,1047.4357,515.5783,0.28235295,0.29032257
4,1,1,2,MOVE,149,1047.1819,515.3246,0.26666668,0.2580645
4,1,1,2,UP,160,1047.1819,515.3246,0.26666668,0.2580645
5,1,1,3,DOWN,0,1033.1929,204.71286,0.054901965,0.4516129
5,1,1,3,MOVE,12,1033.1929,204.71286,0.098039225,0.80645156
5,1,1,3,MOVE,29,1033.1929,204.71286,0.14117648,0.12903225
5,1,1,3,MOVE,45,1033.1929,204.71286,0.21568629,0.19354838
5,1,1,3,MOVE,62,1033.1929,204.71286,0.24705884,0.22580644
5,1,1,3,MOVE,78,1033.1929,204.71286,0.29803923,0.29032257
5,1,1,3,MOVE,95,1033.1929,204.71286,0.31764707,0.32258064
5,1,1,3,MOVE,112,1033.1929,204.71286,0.3019608,0.29032257
5,1,1,3,UP,117,1033.1929,204.71286,0.3019608,0.29032257
TPS: 8
