ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,643.49725,633.1773,0.019607844,0.16129032
1,1,1,1,MOVE,19,643.49725,632.1785,0.027450982,0.22580644
1,1,1,1,MOVE,36,643.49725,630.8328,0.039215688,0.32258064
1,1,1,1,UP,43,643.49725,630.8328,0.039215688,0.32258064
1,2,1,1,DOWN,0,874.31696,281.61673,0.027450982,0.22580644
1,2,1,1,MOVE,27,873.31775,280.0825,0.03529412,0.29032257
1,2,1,1,MOVE,43,872.2293,278.53134,0.043137256,0.3548387
1,2,1,1,MOVE,60,821.3037,347.19946,0.04705883,0.38709676
1,2,1,1,MOVE,77,716.2204,489.90045,0.058823533,0.48387095
1,2,1,1,MOVE,93,653.4453,574.8165,0.06666667,0.54838705
1,2,1,1,MOVE,110,642.9186,586.1018,0.08235294,0.6774193
1,2,1,1,MOVE,128,646.49493,579.2447,0.098039225,0.80645156
1,2,2,1,MOVE,128,646.49493,579.2447,0.098039225,0.80645156
1,2,2,2,DOWN,128,694.45746,283.61423,0.023529414,0.19354838
1,2,2,1,MOVE,143,643.716,580.63354,0.10588236,0.87096775
1,2,2,2,MOVE,143,693.45825,282.61548,0.03529412,0.29032257
1,2,2,1,MOVE,160,642.49805,579.2447,0.11764707,0.9677419
1,2,2,2,MOVE,160,692.45905,281.61673,0.054901965,0.4516129
1,2,3,1,MOVE,160,642.49805,579.2447,0.11764707,0.9677419
1,2,3,2,MOVE,160,692.45905,281.61673,0.054901965,0.4516129
1,2,3,3,DOWN,160,852.3341,232.67792,0.019607844,0.16129032
1,2,3,1,MOVE,176,641.00543,577.7528,0.121568635,1.0
1,2,3,2,MOVE,176,690.9663,280.1248,0.0627451,0.516129
1,2,3,3,MOVE,176,851.3349,231.67917,0.027450982,0.22580644
1,2,3,1,MOVE,192,638.457,577.2472,0.12941177,0.12903225
1,2,3,2,MOVE,192,690.4164,279.57507,0.078431375,0.6451613
1,2,3,3,MOVE,192,850.2915,230.63626,0.039215688,0.32258064
1,2,3,1,MOVE,209,635.9071,575.6531,0.13725491,0.12903225
1,2,3,2,MOVE,209,688.8657,278.02512,0.08627451,0.7096774
1,2,3,3,MOVE,209,849.3364,229.68166,0.043137256,0.3548387
1,2,3,1,MOVE,226,634.35736,575.2497,0.15294118,0.12903225
1,2,3,2,MOVE,226,687.316,276.47617,0.098039225,0.80645156
1,2,3,3,MOVE,226,848.1903,228.53607,0.050980397,0.41935483
1,2,3,1,MOVE,242,633.50507,573.55145,0.16078432,0.16129032
1,2,3,2,MOVE,242,686.4637,275.62424,0.10196079,0.83870965
1,2,3,3,MOVE,242,847.338,227.68414,0.054901965,0.4516129
1,2,3,1,MOVE,259,632.25635,573.2522,0.1764706,0.16129032
1,2,3,2,MOVE,259,685.21497,274.3761,0.10980393,0.9032258
1,2,3,3,MOVE,259,846.0893,226.436,0.0627451,0.516129
1,2,3,1,MOVE,275,630.69946,571.44666,0.18431373,0.16129032
1,2,3,2,MOVE,275,684.4653,273.6267,0.1137255,0.9354838
1,2,3,3,MOVE,275,845.3396,225.68665,0.06666667,0.54838705
1,2,3,1,MOVE,292,629.15753,571.2547,0.19607845,0.19354838
1,2,3,2,MOVE,292,683.1154,272.2775,0.121568635,1.0
1,2,3,3,MOVE,292,843.9897,224.33743,0.06666667,0.54838705
1,2,3,1,MOVE,308,628.6035,569.3517,0.20000002,0.19354838
1,2,3,2,MOVE,308,681.56213,270.72495,0.1254902,0.12903225
1,2,3,3,MOVE,308,843.3411,223.68915,0.07058824,0.58064514
1,2,3,1,MOVE,325,627.05707,569.2572,0.20784315,0.19354838
1,2,3,2,MOVE,325,680.0157,269.17926,0.13333334,0.12903225
