ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,1279.0007,427.43448,0.011764707,0.09677419
1,1,1,1,MOVE,12,1279.0007,427.43448,0.011764707,0.09677419
1,1,1,1,MOVE,29,1279.0007,427.43448,0.011764707,0.09677419
1,1,1,1,MOVE,46,1279.0007,427.43448,0.019607844,0.16129032
1,1,1,1,MOVE,62,1279.0007,427.43448,0.019607844,0.16129032
1,1,1,1,MOVE,79,1279.0007,426.03256,0.027450982,0.22580644
1,1,1,1,MOVE,95,1279.0007,425.4815,0.03137255,0.2580645
1,1,1,1,MOVE,112,1279.0007,423.93884,0.039215688,0.32258064
1,1,1,1,MOVE,129,1279.0007,423.38358,0.04705883,0.38709676
1,1,1,1,MOVE,145,1279.0007,422.83228,0.050980397,0.41935483
1,1,1,1,MOVE,162,1279.0007,421.27695,0.058823533,0.48387095
1,1,1,1,MOVE,178,1279.0007,420.73175,0.0627451,0.516129
1,1,1,1,MOVE,195,1279.0007,420.4432,0.07058824,0.58064514
1,1,1,1,MOVE,211,1279.0007,419.44446,0.07450981,0.61290324
1,1,1,1,MOVE,228,1279.0007,418.08167,0.08235294,0.6774193
1,1,1,1,MOVE,244,1278.0857,417.53104,0.09019608,0.7419355
1,1,1,1,MOVE,261,1276.537,417.44696,0.10588236,0.87096775
1,1,1,1,MOVE,278,1275.9852,416.4482,0.121568635,1.0
1,1,1,1,MOVE,294,1275.0039,414.88153,0.1254902,0.12903225
1,1,1,1,MOVE,311,1273.8866,414.45068,0.13725491,0.12903225
1,1,1,1,MOVE,327,1273.0055,413.45193,0.14509805,0.12903225
1,1,1,1,MOVE,344,1271.7809,412.2279,0.15686275,0.16129032
1,1,1,1,MOVE,360,1271.0071,411.45444,0.16078432,0.16129032
1,1,1,1,MOVE,377,1269.684,410.13205,0.16862746,0.16129032
1,1,1,1,MOVE,394,1269.0085,409.45694,0.17254902,0.16129032
1,1,1,1,MOVE,410,1267.5857,408.0347,0.18039216,0.16129032
1,1,1,1,MOVE,427,1267.0101,407.45944,0.18431373,0.16129032
1,1,1,1,MOVE,443,1265.4808,405.93085,0.19607845,0.19354838
1,1,1,1,MOVE,460,1265.0117,405.46194,0.20392159,0.19354838
1,1,1,1,MOVE,476,1263.3827,403.8337,0.20784315,0.19354838
1,1,1,1,MOVE,493,1263.0133,403.46442,0.21568629,0.19354838
1,1,1,1,MOVE,509,1261.2813,401.7333,0.21960786,0.22580644
1,1,1,1,MOVE,526,1261.0148,401.46692,0.22352943,0.22580644
1,1,1,1,MOVE,543,1259.1821,399.6351,0.22352943,0.22580644
1,1,1,1,MOVE,559,1259.0164,399.46942,0.227451,0.22580644
1,1,1,1,MOVE,576,1257.0792,397.5331,0.227451,0.22580644
1,1,1,1,MOVE,592,1257.018,397.47192,0.227451,0.22580644
1,1,1,1,MOVE,609,1254.9799,396.47318,0.227451,0.22580644
1,1,1,1,MOVE,625,1254.4291,394.88425,0.227451,0.22580644
1,1,1,1,MOVE,642,1252.8739,394.47568,0.227451,0.22580644
1,1,1,1,MOVE,659,1251.6387,392.786,0.227451,0.22580644
1,1,1,1,MOVE,675,1248.5422,392.47815,0.227451,0.22580644
1,1,1,1,MOVE,692,1247.2313,390.68616,0.227451,0.22580644
1,1,1,1,MOVE,708,1245.6805,390.48065,0.227451,0.22580644
1,1,1,1,MOVE,726,1243.0289,388.48315,0.23137257,0.22580644
1,1,2,1,MOVE,726,1243.0289,388.48315,0.23137257,0.22580644
1,1,2,2,DOWN,726,1278.0016,630.181,0.03137255,0.2580645
1,1,2,1,MOVE,741,1238.6965,387.0397,0.23529413,0.22580644
1,1,2,2,MOVE,741,1277.0023,629.1823,0.050980397,0.41935483
1,1,2,1,MOVE,758,1233.0363,384.48788,0.24313727,0.22580644
1,1,2,2,MOVE,758,1276.003,628.1834,0.09019608,0.7419355
1,1,2,1,MOVE,774,1226.8386,382.38934,0.24705884,0.22580644
1,1,2,2,MOVE,774,1275.0039,627.18475,0.10980393,0.9032258
1,1,2,1,MOVE,791,1220.6561,379.29953,0.25490198,0.2580645
1,1,2,2,MOVE,791,1273.9071,624.99243,0.14901961,0.12903225
1,1,2,1,MOVE,808,1213.8121,377.20142,0.25882354,0.2580645
1,1,2,2,MOVE,808,1272.358,622.89435,0.16862746,0.16129032
1,1,2,1,MOVE,824,1206.08,374.11002,0.25882354,0.2580645
1,1,2,2,MOVE,824,1269.617,619.8029,0.20784315,0.19354838
1,1,2,1,MOVE,841,1196.5226,370.23465,0.25882354,0.2580645
1,1,2,2,MOVE,841,1266.4963,614.9288,0.227451,0.22580644
1,1,2,1,MOVE,857,1188.5588,366.90506,0.2627451,0.2580645
1,1,2,2,MOVE,857,1262.1064,610.2983,0.25882354,0.2580645
