ShapaId,TouchID,NumOfPointers,PointerID,Action,TimeSinceFirstTouch[ms],X[px],Y[px],Pressure[0-1],Size[0-1]
1,1,1,1,DOWN,0,663.4816,196.72285,0.015686275,0.12903225
1,1,1,1,MOVE,16,662.4824,195.7241,0.019607844,0.16129032
1,1,1,1,MOVE,33,662.4824,194.62378,0.027450982,0.22580644
1,1,1,1,MOVE,49,662.4824,193.7266,0.03137255,0.2580645
1,1,1,1,MOVE,66,662.4824,193.7266,0.04705883,0.38709676
1,1,1,1,MOVE,83,662.4824,193.7266,0.054901965,0.4516129
1,1,1,1,MOVE,99,662.4824,193.7266,0.07058824,0.58064514
1,1,1,1,MOVE,116,662.4824,193.7266,0.078431375,0.6451613
1,1,1,1,MOVE,132,662.4824,193.7266,0.09411766,0.7741935
1,1,1,1,MOVE,149,662.4824,193.7266,0.10980393,0.9032258
1,1,1,1,MOVE,166,663.4816,194.72534,0.11764707,0.9677419
1,1,1,1,MOVE,182,663.4816,194.72534,0.13333334,0.12903225
1,1,1,1,MOVE,199,663.4816,194.72534,0.13725491,0.12903225
1,1,1,1,MOVE,215,663.4816,194.72534,0.14901961,0.12903225
1,1,1,1,MOVE,232,663.4816,194.72534,0.15686275,0.16129032
1,1,1,1,MOVE,248,663.4816,194.72534,0.16470589,0.16129032
1,1,1,1,MOVE,265,663.4816,194.72534,0.16862746,0.16129032
1,1,1,1,MOVE,281,663.4816,194.72534,0.1764706,0.16129032
1,1,1,1,MOVE,298,663.4816,194.72534,0.1764706,0.16129032
1,1,1,1,MOVE,315,663.4816,194.72534,0.1764706,0.16129032
1,1,1,1,MOVE,331,663.4816,194.72534,0.1764706,0.16129032
1,1,1,1,MOVE,348,666.70526,195.33763,0.17254902,0.16129032
1,1,1,1,MOVE,352,667.4785,195.7241,0.16470589,0.16129032
1,1,1,1,UP,363,667.4785,195.7241,0.16470589,0.16129032
2,1,1,2,DOWN,0,706.44806,502.34082,0.015686275,0.12903225
2,1,1,2,MOVE,13,705.2506,502.34082,0.019607844,0.16129032
2,1,1,2,MOVE,21,705.44885,502.34082,0.019607844,0.16129032
2,1,1,2,UP,32,705.44885,502.34082,0.019607844,0.16129032
2,2,1,1,DOWN,0,669.477,514.32587,0.019607844,0.16129032
2,2,1,1,MOVE,26,668.0373,513.3271,0.039215688,0.32258064
2,2,1,1,MOVE,43,668.4777,511.33862,0.04705883,0.38709676
2,2,1,1,MOVE,60,668.4777,510.77698,0.0627451,0.516129
2,2,1,1,MOVE,76,668.4777,509.22998,0.078431375,0.6451613
2,2,1,1,MOVE,93,667.4785,509.3321,0.08627451,0.7096774
2,2,1,1,MOVE,109,666.27014,509.3321,0.098039225,0.80645156
2,2,1,1,MOVE,126,665.4801,509.3321,0.10196079,0.83870965
2,2,1,1,MOVE,142,664.17224,509.3321,0.11764707,0.9677419
2,2,1,1,MOVE,159,663.4816,509.3321,0.121568635,1.0
2,2,1,1,MOVE,175,662.06726,509.3321,0.12941177,0.12903225
2,2,1,1,MOVE,192,661.4832,509.3321,0.13333334,0.12903225
2,2,1,1,MOVE,209,659.9689,509.3321,0.14117648,0.12903225
2,2,1,1,MOVE,225,659.4848,509.3321,0.15294118,0.12903225
2,2,1,1,MOVE,242,657.86743,509.3321,0.16078432,0.16129032
2,2,1,1,MOVE,258,657.4863,509.3321,0.1764706,0.16129032
2,2,1,1,MOVE,275,655.76697,508.33337,0.18039216,0.16129032
2,2,1,1,MOVE,291,655.4879,508.33337,0.18823531,0.19354838
2,2,1,1,MOVE,308,653.66437,508.33337,0.19215688,0.19354838
2,2,1,1,MOVE,325,653.48944,508.33337,0.20000002,0.19354838
2,2,1,1,MOVE,341,651.56354,508.33337,0.20392159,0.19354838
2,2,1,1,MOVE,358,651.491,508.33337,0.21568629,0.19354838
2,2,1,1,MOVE,374,649.4602,508.33337,0.22352943,0.22580644
2,2,1,1,MOVE,391,648.9105,508.33337,0.23137257,0.22580644
2,2,1,1,MOVE,407,647.3644,508.33337,0.24313727,0.22580644
2,2,1,1,MOVE,424,647.49414,508.33337,0.24705884,0.22580644
2,2,1,1,MOVE,440,647.49414,508.33337,0.25490198,0.2580645
2,2,1,1,MOVE,457,647.49414,508.33337,0.25882354,0.2580645
2,2,1,1,MOVE,474,647.49414,508.33337,0.26666668,0.2580645
2,2,1,1,MOVE,490,647.49414,508.33337,0.27058825,0.2580645
2,2,1,1,MOVE,507,647.49414,508.33337,0.27450982,0.2580645
2,2,1,1,MOVE,523,647.49414,508.33337,0.27450982,0.2580645
